时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,20,2644
7,134864,20,2644
8,156016,156016,0
9,156016,156016,0
10,156016,156016,0
11,156016,21856,1677
12,166078,21856,1677
13,177817,21856,1677
14,191233,21856,1677
15,201295,21856,1677
16,211357,21856,1677
17,221419,21856,1677
18,231481,21856,1677
19,239866,21856,1677
20,249928,21856,1677
21,259990,259990,0
22,259990,259990,0
23,259990,259990,0
24,259990,259990,0
25,259990,259990,0
26,259990,259990,0
27,259990,259990,0
28,259990,7290,1444
29,264322,170,1484
30,270258,170,1484
31,276194,170,1484
32,283614,283614,0
33,283614,283614,0
34,283614,283614,0
35,283614,283614,0
36,283614,283614,0
37,283614,2773,1331
38,286276,2773,1331
39,290269,397,1342
40,294295,397,1342
41,298321,397,1342
42,305031,170,1343
43,305031,170,1343
44,307717,170,1343
45,314432,170,1343
46,319804,170,1343
47,321147,170,1343
48,323833,170,1343
49,327862,170,1343
50,330548,170,1343
51,331891,170,1343
52,331891,170,1343
53,331891,170,1343
54,334577,334577,0
55,334577,334577,0
56,334577,334577,0
57,334577,334577,0
58,334577,334577,0
59,334577,2801,1296
60,335873,231,1306
61,334567,231,1306
62,333261,333261,0
63,333261,8909,1267
64,333261,8909,1267
65,333261,333261,0
66,333261,333261,0
67,333261,333261,0
68,333261,333261,0
69,333261,333261,0
70,333261,11181,1220
71,336921,768,1259
72,338180,768,1259
73,338180,338180,0
74,338180,338180,0
75,338180,338180,0
76,338180,1327,1243
77,341909,341909,0
78,341909,341909,0
79,341909,18927,1166
80,345407,18927,1166
81,345407,18927,1166
82,345407,345407,0
83,345407,345407,0
84,345407,9687,1199
85,347805,9687,1199
86,346606,9687,1199
87,345407,167,1233
88,344174,167,1233
89,344174,167,1233
90,346640,167,1233
91,347873,167,1233
92,346640,167,1233
93,347873,167,1233
94,346640,167,1233
95,341708,167,1233
96,339242,167,1233
97,338009,167,1233
98,338009,167,1233
99,336776,167,1233
100,335543,335543,0
101,335543,13045,1177
102,336720,13045,1177
103,334366,334366,0
104,334366,334366,0
105,334366,334366,0
106,334366,18391,1149
107,333217,333217,0
108,333217,333217,0
109,333217,333217,0
110,333217,12842,1165
111,335547,335547,0
112,335547,27801,1107
113,334440,27801,1107
114,334440,27801,1107
115,337761,1481,1201
116,338962,76,1206
117,338962,76,1206
118,340168,340168,0
119,340168,18423,1145
120,339023,18423,1145
121,337878,18423,1145
122,336733,1187,1207
123,337940,71,1211
124,339151,339151,0
125,339151,339151,0
126,339151,20493,1126
127,338025,1035,1195
128,340415,1035,1195
129,340415,340415,0
130,340415,14965,1150
131,340415,14965,1150
132,338115,634,1201
133,338115,72,1203
134,340521,72,1203
135,336912,72,1203
