时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,100000,1000
7,151000,100000,1000
8,159000,100000,1000
9,165000,100000,1000
10,174000,100000,1000
11,180000,10160,2123
12,192738,10160,2123
13,207599,10160,2123
14,224583,1474,2209
15,237837,83,2222
16,251169,251169,0
17,251169,251169,0
18,251169,251169,0
19,251169,27569,1720
20,261489,27569,1720
21,271809,27569,1720
22,282129,27569,1720
23,290729,290729,0
24,290729,23709,1690
25,297489,23709,1690
26,304249,1797,1822
27,313359,258,1831
28,320683,320683,0
29,320683,39621,1579
30,326999,309,1795
31,334179,309,1795
32,343154,309,1795
33,352129,309,1795
34,357514,309,1795
35,364694,309,1795
36,375464,309,1795
37,379054,98,1796
38,382646,98,1796
39,388034,98,1796
40,393422,98,1796
41,398810,98,1796
42,407790,98,1796
43,407790,98,1796
44,411382,98,1796
45,420362,98,1796
46,427546,98,1796
47,429342,98,1796
48,432934,98,1796
49,438322,98,1796
50,441914,98,1796
51,443710,98,1796
52,443710,98,1796
53,443710,98,1796
54,447302,98,1796
55,450894,98,1796
56,452690,98,1796
57,459874,98,1796
58,459874,98,1796
59,459874,98,1796
60,461670,98,1796
61,459874,98,1796
62,458078,98,1796
63,459874,98,1796
64,459874,98,1796
65,459874,98,1796
66,461670,461670,0
67,461670,45258,1614
68,466512,3759,1773
69,470058,340,1786
70,471844,471844,0
71,471844,471844,0
72,471844,471844,0
73,471844,13832,1709
74,475262,1142,1756
75,477018,1142,1756
76,477018,329,1759
77,482295,55,1760
78,482295,55,1760
79,487575,55,1760
80,492855,55,1760
81,492855,55,1760
82,492855,55,1760
83,492855,55,1760
84,492855,55,1760
85,496375,55,1760
86,494615,494615,0
87,494615,21975,1688
88,492927,21975,1688
89,492927,3003,1756
90,496439,3003,1756
91,498195,3003,1756
92,496439,193,1766
93,498205,193,1766
94,496439,193,1766
95,489375,193,1766
96,485843,193,1766
97,484077,193,1766
98,484077,193,1766
99,482311,193,1766
100,480545,193,1766
101,484077,193,1766
102,485843,193,1766
103,482311,193,1766
104,480545,193,1766
105,484077,193,1766
106,485843,193,1766
107,484077,193,1766
108,482311,193,1766
109,484077,484077,0
110,484077,484077,0
111,484077,484077,0
112,484077,484077,0
113,484077,484077,0
114,484077,484077,0
115,484077,484077,0
116,484077,484077,0
117,484077,195,1722
118,485799,195,1722
119,484077,195,1722
120,482355,195,1722
121,480633,195,1722
122,478911,195,1722
123,480633,195,1722
124,482355,195,1722
125,484077,195,1722
126,487521,195,1722
127,485799,485799,0
128,485799,485799,0
129,485799,485799,0
130,485799,3567,1704
131,485799,171,1716
132,482367,171,1716
133,482367,482367,0
134,482367,482367,0
135,482367,18407,1657
136,480710,551,1721
