时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,138000,0
6,138000,138000,0
7,138000,138000,0
8,138000,138000,0
9,138000,138000,0
10,138000,138000,0
11,138000,138000,0
12,138000,138000,0
13,138000,138000,0
14,138000,14679,1221
15,145326,14679,1221
16,152652,1345,1339
17,160686,1345,1339
18,168720,1345,1339
19,175415,175415,0
20,175415,175415,0
21,175415,175415,0
22,175415,175415,0
23,175415,175415,0
24,175415,175415,0
25,175415,175415,0
26,175415,175415,0
27,175415,1166,1019
28,179491,1166,1019
29,182548,1166,1019
30,186624,186624,0
31,186624,186624,0
32,186624,186624,0
33,186624,8264,910
34,189354,189354,0
35,189354,16398,852
36,194466,16398,852
37,196170,16398,852
38,197874,16398,852
39,200430,1278,922
40,203196,1278,922
41,205962,1278,922
42,210572,1278,922
43,210572,1278,922
44,212416,133,927
45,217051,133,927
46,220759,133,927
47,221686,133,927
48,223540,133,927
49,226321,133,927
50,228175,133,927
51,229102,133,927
52,229102,133,927
53,229102,133,927
54,230956,133,927
55,232810,133,927
56,233737,133,927
57,237445,133,927
58,237445,133,927
59,237445,237445,0
60,237445,237445,0
61,237445,237445,0
62,237445,237445,0
63,237445,12421,879
64,237445,901,924
65,237445,901,924
66,238369,238369,0
67,238369,12361,876
68,240997,355,922
69,242841,355,922
70,243763,91,923
71,246532,91,923
72,247455,91,923
73,247455,91,923
74,249301,91,923
75,250224,91,923
76,250224,250224,0
77,250224,6364,890
78,250224,6364,890
79,252894,6364,890
80,255564,6364,890
81,255564,6364,890
82,255564,6364,890
83,255564,6364,890
84,255564,6364,890
85,257344,6364,890
86,256454,182,912
87,255542,182,912
88,254630,182,912
89,254630,182,912
90,256454,256454,0
91,256454,256454,0
92,256454,256454,0
93,256454,256454,0
94,256454,256454,0
95,256454,256454,0
96,256454,256454,0
97,256454,256454,0
98,256454,1086,932
99,255522,1086,932
100,254590,270,935
101,256460,270,935
102,257395,270,935
103,255525,270,935
104,254590,254590,0
105,254590,44,929
106,255519,44,929
107,254590,44,929
108,253661,44,929
109,254590,44,929
110,255519,44,929
111,257377,257377,0
112,257377,257377,0
113,257377,5584,909
114,257377,598,927
115,260158,38,929
116,261087,38,929
117,261087,38,929
118,262016,38,929
119,261087,261087,0
120,261087,261087,0
121,261087,9987,900
122,260187,9987,900
123,261087,9987,900
124,261987,9987,900
125,262887,152,935
126,264757,264757,0
127,264757,18571,873
128,266503,266503,0
129,266503,8347,909
130,265594,706,936
131,265594,140,938
132,263718,140,938
133,263718,140,938
134,265594,140,938
135,262780,262780,0
136,262780,262780,0
137,262780,1182,941
138,261839,74,945
139,264674,264674,0
140,264674,264674,0
141,264674,1964,945
142,263729,1964,945
143,265619,1964,945
144,266564,284,951
