时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,100000,1000
7,151000,100000,1000
8,159000,100000,1000
9,165000,100000,1000
10,174000,174000,0
11,174000,174000,0
12,174000,174000,0
13,174000,174000,0
14,174000,174000,0
15,174000,23879,1403
16,182418,23879,1403
17,190836,23879,1403
18,199254,1629,1581
19,207159,1629,1581
20,216645,133,1592
21,226197,133,1592
22,235749,133,1592
23,243709,133,1592
24,251669,133,1592
25,258037,133,1592
26,264405,133,1592
27,272365,133,1592
28,278733,278733,0
29,278733,278733,0
30,278733,278733,0
31,278733,278733,0
32,278733,32343,1290
33,285183,32343,1290
34,289053,289053,0
35,289053,289053,0
36,289053,289053,0
37,289053,289053,0
38,289053,289053,0
39,289053,289053,0
40,289053,38955,1142
41,292479,2325,1307
42,299014,2325,1307
43,299014,299014,0
44,299014,13909,1245
45,305239,1507,1298
46,310431,317,1303
47,311734,78,1304
48,314342,78,1304
49,318254,78,1304
50,320862,78,1304
51,322166,78,1304
52,322166,78,1304
53,322166,78,1304
54,324774,78,1304
55,327382,78,1304
56,328686,78,1304
57,333902,78,1304
58,333902,78,1304
59,333902,78,1304
60,335206,78,1304
61,333902,78,1304
62,332598,78,1304
63,333902,78,1304
64,333902,333902,0
65,333902,333902,0
66,333902,333902,0
67,333902,333902,0
68,333902,333902,0
69,333902,18039,1201
70,335103,18039,1201
71,338706,18039,1201
72,339907,18039,1201
73,339907,83,1268
74,342443,83,1268
75,343711,83,1268
76,343711,83,1268
77,347515,83,1268
78,347515,83,1268
79,351319,83,1268
80,355123,83,1268
81,355123,83,1268
82,355123,83,1268
83,355123,355123,0
84,355123,355123,0
85,355123,355123,0
86,355123,355123,0
87,355123,355123,0
88,355123,35668,1145
89,355123,3025,1262
90,357647,215,1272
91,358919,215,1272
92,357647,215,1272
93,358919,358919,0
94,358919,10198,1241
95,353955,10198,1241
96,351473,848,1275
97,350198,848,1275
98,350198,300,1277
99,348921,27,1278
100,347643,27,1278
101,350199,27,1278
102,351477,27,1278
103,348921,27,1278
104,347643,27,1278
105,350199,27,1278
106,351477,27,1278
107,350199,27,1278
108,348921,27,1278
109,350199,27,1278
110,351477,27,1278
111,354033,27,1278
112,355311,27,1278
113,354033,27,1278
114,354033,27,1278
115,357867,27,1278
116,359145,27,1278
117,359145,27,1278
118,360423,27,1278
119,359145,27,1278
120,357867,27,1278
121,356589,27,1278
122,355311,355311,0
123,355311,355311,0
124,355311,355311,0
125,355311,355311,0
126,355311,8636,1225
127,354086,176,1255
128,356596,356596,0
129,356596,15796,1200
130,355396,355396,0
131,355396,7589,1229
132,352938,352938,0
133,352938,352938,0
134,352938,352938,0
135,352938,14698,1208
136,351730,14698,1208
