时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,125000,0
4,125000,125000,0
5,125000,125000,0
6,125000,125000,0
7,125000,125000,0
8,125000,125000,0
9,125000,125000,0
10,125000,125000,0
11,125000,125000,0
12,125000,125000,0
13,125000,125000,0
14,125000,125000,0
15,125000,125000,0
16,125000,9288,1024
17,131144,9288,1024
18,137288,538,1094
19,142758,538,1094
20,149322,130,1097
21,155904,130,1097
22,162486,130,1097
23,167971,167971,0
24,167971,8233,1011
25,172015,8233,1011
26,176059,99,1060
27,181359,99,1060
28,185599,99,1060
29,188779,99,1060
30,193019,99,1060
31,197259,99,1060
32,202559,202559,0
33,202559,91,1033
34,205658,91,1033
35,209790,91,1033
36,215988,91,1033
37,218054,91,1033
38,220120,91,1033
39,223219,223219,0
40,223219,7942,983
41,226168,7942,983
42,231083,7942,983
43,231083,7942,983
44,233049,7942,983
45,237964,688,1014
46,242020,212,1016
47,243036,212,1016
48,245068,212,1016
49,248116,212,1016
50,250148,212,1016
51,251164,212,1016
52,251164,251164,0
53,251164,4164,1000
54,253164,4164,1000
55,255164,4164,1000
56,256164,4164,1000
57,260164,4164,1000
58,260164,324,1015
59,260164,68,1016
60,261180,68,1016
61,260164,68,1016
62,259148,68,1016
63,260164,68,1016
64,260164,68,1016
65,260164,68,1016
66,261180,68,1016
67,262196,68,1016
68,265244,68,1016
69,267276,267276,0
70,267276,267276,0
71,267276,267276,0
72,267276,267276,0
73,267276,267276,0
74,267276,267276,0
75,267276,267276,0
76,267276,11452,944
77,270108,11452,944
78,270108,11452,944
79,272940,372,984
80,275892,372,984
81,275892,275892,0
82,275892,275892,0
83,275892,275892,0
84,275892,6812,961
85,277814,326,984
86,276830,45,985
87,275845,45,985
88,274860,45,985
89,274860,45,985
90,276830,45,985
91,277815,45,985
92,276830,45,985
93,277815,45,985
94,276830,45,985
95,272890,45,985
96,270920,45,985
97,269935,45,985
98,269935,45,985
99,268950,45,985
100,267965,45,985
101,269935,45,985
102,270920,45,985
103,268950,45,985
104,267965,45,985
105,269935,269935,0
106,269935,269935,0
107,269935,12375,940
108,268995,12375,940
109,269935,269935,0
110,269935,21060,905
111,271745,21060,905
112,272650,272650,0
113,272650,272650,0
114,272650,272650,0
115,272650,12250,930
116,273580,448,972
117,273580,448,972
118,274552,274552,0
119,274552,274552,0
120,274552,274552,0
121,274552,6991,959
122,273593,597,982
123,274575,39,984
124,275559,275559,0
125,275559,275559,0
126,275559,275559,0
127,275559,275559,0
128,275559,275559,0
129,275559,275559,0
130,275559,275559,0
131,275559,13218,927
132,273705,854,971
133,273705,292,973
134,275651,292,973
135,272732,292,973
136,271759,292,973
137,270786,292,973
138,269813,292,973
139,272732,272732,0
140,272732,272732,0
141,272732,272732,0
142,272732,8751,953
