时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,10573,1753
9,124518,10573,1753
10,140295,10573,1753
11,150813,10573,1753
12,161331,10573,1753
13,173602,10573,1753
14,187626,10573,1753
15,198144,194,1850
16,209244,194,1850
17,220344,194,1850
18,231444,194,1850
19,240694,64,1851
20,251800,64,1851
21,262906,262906,0
22,262906,262906,0
23,262906,262906,0
24,262906,262906,0
25,262906,262906,0
26,262906,262906,0
27,262906,262906,0
28,262906,262906,0
29,262906,262906,0
30,262906,3010,1428
31,268618,3010,1428
32,275758,3010,1428
33,282898,266,1442
34,287224,67,1443
35,292996,67,1443
36,301654,301654,0
37,301654,18914,1340
38,304334,1022,1424
39,308606,1022,1424
40,312878,1022,1424
41,317150,1022,1424
42,324270,1022,1424
43,324270,114,1428
44,327126,114,1428
45,334266,114,1428
46,339978,114,1428
47,341406,114,1428
48,344262,114,1428
49,348546,114,1428
50,351402,114,1428
51,352830,114,1428
52,352830,114,1428
53,352830,114,1428
54,355686,114,1428
55,358542,114,1428
56,359970,114,1428
57,365682,114,1428
58,365682,114,1428
59,365682,114,1428
60,367110,114,1428
61,365682,114,1428
62,364254,114,1428
63,365682,114,1428
64,365682,114,1428
65,365682,114,1428
66,367110,114,1428
67,368538,114,1428
68,372822,114,1428
69,375678,114,1428
70,377106,114,1428
71,381390,180606,752
72,382142,9622,1390
73,382142,382142,0
74,382142,382142,0
75,382142,7078,1384
76,382142,32,1410
77,386372,32,1410
78,386372,32,1410
79,390602,32,1410
80,394832,32,1410
81,394832,32,1410
82,394832,32,1410
83,394832,32,1410
84,394832,32,1410
85,397652,397652,0
86,397652,397652,0
87,397652,11252,1380
88,396272,1487,1415
89,396272,92,1420
90,399112,92,1420
91,400532,400532,0
92,400532,400532,0
93,400532,400532,0
94,400532,5727,1405
95,394912,394912,0
96,394912,16512,1376
97,393536,620,1434
98,393536,620,1434
99,392102,620,1434
100,390668,76,1436
101,393540,76,1436
102,394976,76,1436
103,392104,76,1436
104,390668,76,1436
105,393540,76,1436
106,394976,76,1436
107,393540,76,1436
108,392104,76,1436
109,393540,393540,0
110,393540,393540,0
111,393540,393540,0
112,393540,13792,1366
113,392174,13792,1366
114,392174,1050,1412
115,396410,1050,1412
116,397822,1050,1412
117,397822,207,1415
118,399237,207,1415
119,397822,207,1415
120,396407,396407,0
121,396407,9713,1386
122,395021,261,1420
123,396441,261,1420
124,397861,261,1420
125,399281,261,1420
126,402121,261,1420
127,400701,400701,0
128,400701,400701,0
129,400701,400701,0
130,400701,400701,0
131,400701,7048,1391
132,397919,304,1415
133,397919,304,1415
134,400749,21,1416
135,396501,21,1416
136,395085,21,1416
137,393669,21,1416
138,392253,392253,0
139,392253,392253,0
140,392253,392253,0
141,392253,392253,0
142,392253,392253,0
143,392253,1653,1400
144,393653,253,1405
145,392248,253,1405
146,390843,390843,0
147,390843,38391,1277
148,393397,393397,0
149,393397,393397,0
150,393397,17819,1351
151,390695,17819,1351
152,389344,1319,1411
153,389344,389344,0
154,389344,389344,0
155,389344,389344,0
156,389344,389344,0
157,389344,389344,0
158,389344,389344,0
159,389344,389344,0
160,389344,31183,1293
161,391930,391930,0
162,391930,391930,0
163,391930,391930,0
164,391930,391930,0
165,391930,17570,1337
166,390593,17570,1337
167,390593,830,1397
168,390593,272,1399
169,389194,272,1399
170,387795,387795,0
171,387795,387795,0
172,387795,272,1399
173,389194,272,1399
174,386396,272,1399
175,386396,386396,0
