时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,119000,0
7,119000,119000,0
8,119000,119000,0
9,119000,119000,0
10,119000,119000,0
11,119000,119000,0
12,119000,119000,0
13,119000,119000,0
14,119000,3456,1144
15,125864,353,1173
16,132902,353,1173
17,139940,353,1173
18,146978,103,1175
19,152853,152853,0
20,152853,19709,979
21,158727,823,1112
22,165399,823,1112
23,170959,58,1117
24,176544,58,1117
25,181012,58,1117
26,185480,58,1117
27,191065,58,1117
28,195533,195533,0
29,195533,195533,0
30,195533,195533,0
31,195533,195533,0
32,195533,195533,0
33,195533,195533,0
34,195533,195533,0
35,195533,195533,0
36,195533,195533,0
37,195533,195533,0
38,195533,195533,0
39,195533,195533,0
40,195533,12668,835
41,198038,12668,835
42,202213,12668,835
43,202213,12668,835
44,203883,203883,0
45,203883,203883,0
46,203883,203883,0
47,203883,203883,0
48,203883,203883,0
49,203883,203883,0
50,203883,26763,720
51,204603,334,827
52,204603,87,828
53,204603,87,828
54,206259,87,828
55,207915,87,828
56,208743,87,828
57,212055,212055,0
58,212055,212055,0
59,212055,212055,0
60,212055,13394,773
61,211282,850,822
62,210460,85,825
63,211285,85,825
64,211285,85,825
65,211285,85,825
66,212110,85,825
67,212935,85,825
68,215410,85,825
69,217060,217060,0
70,217060,5068,803
71,219469,5068,803
72,220272,5068,803
73,220272,5068,803
74,221878,478,820
75,222698,207,821
76,222698,207,821
77,225161,207,821
78,225161,207,821
79,227624,207,821
80,230087,207,821
81,230087,207,821
82,230087,207,821
83,230087,207,821
84,230087,207,821
85,231729,207,821
86,230908,230908,0
87,230908,230908,0
88,230908,19147,759
89,230908,733,825
90,232558,733,825
91,233383,169,827
92,232556,169,827
93,233383,169,827
94,232556,169,827
95,229248,169,827
96,227594,169,827
97,226767,169,827
98,226767,169,827
99,225940,169,827
100,225113,169,827
101,226767,169,827
102,227594,169,827
103,225940,169,827
104,225113,169,827
105,226767,169,827
106,227594,169,827
107,226767,169,827
108,225940,169,827
109,226767,169,827
110,227594,227594,0
111,227594,227594,0
112,227594,227594,0
113,227594,227594,0
114,227594,11811,779
115,229931,891,818
116,230749,48,821
117,230749,230749,0
118,230749,230749,0
119,230749,21123,746
120,230003,21123,746
121,229257,21123,746
122,228511,228511,0
123,228511,3358,807
124,229318,3358,807
125,230125,3358,807
126,231739,3358,807
127,230932,256,818
128,232568,256,818
129,232568,256,818
130,231750,231750,0
131,231750,231750,0
132,231750,206,824
133,231750,206,824
134,233398,206,824
135,230926,206,824
136,230102,206,824
137,229278,229278,0
138,229278,229278,0
139,229278,229278,0
140,229278,229278,0
141,229278,229278,0
142,229278,229278,0
143,229278,229278,0
144,229278,229278,0
145,229278,229278,0
