时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,7445,2479
7,133874,7445,2479
8,153706,7445,2479
9,168580,35,2593
10,191917,35,2593
11,207475,35,2593
12,223033,35,2593
13,241184,35,2593
14,261928,35,2593
15,277486,35,2593
16,293044,293044,0
17,293044,4945,2421
18,307570,4945,2421
19,319675,4945,2421
20,334201,4945,2421
21,348727,259,2454
22,363451,363451,0
23,363451,363451,0
24,363451,39077,2053
25,371663,2141,2281
26,380787,2141,2281
27,392192,2141,2281
28,401316,216,2292
29,408192,216,2292
30,417360,216,2292
31,426528,30,2293
32,437993,30,2293
33,449458,30,2293
34,456337,30,2293
35,465509,30,2293
36,479267,30,2293
37,483853,30,2293
38,488439,30,2293
39,495318,30,2293
40,502197,30,2293
41,509076,30,2293
42,520541,30,2293
43,520541,30,2293
44,525127,30,2293
45,536592,30,2293
46,545764,30,2293
47,548057,30,2293
48,552643,30,2293
49,559522,30,2293
50,564108,30,2293
51,566401,30,2293
52,566401,30,2293
53,566401,30,2293
54,570987,30,2293
55,575573,30,2293
56,577866,30,2293
57,587038,30,2293
58,587038,30,2293
59,587038,30,2293
60,589331,30,2293
61,587038,30,2293
62,584745,30,2293
63,587038,30,2293
64,587038,30,2293
65,587038,30,2293
66,589331,30,2293
67,591624,30,2293
68,598503,30,2293
69,603089,30,2293
70,605382,30,2293
71,612261,30,2293
72,614554,30,2293
73,614554,30,2293
74,619140,30,2293
75,621433,30,2293
76,621433,30,2293
77,628312,30,2293
78,628312,30,2293
79,635191,30,2293
80,642070,30,2293
81,642070,30,2293
82,642070,30,2293
83,642070,30,2293
84,642070,30,2293
85,646656,30,2293
86,644363,644363,0
87,644363,644363,0
88,644363,28889,2206
89,644363,431,2308
90,648979,431,2308
91,651287,431,2308
92,648979,150,2309
93,651288,150,2309
94,648979,150,2309
95,639743,150,2309
96,635125,150,2309
97,632816,150,2309
98,632816,150,2309
99,630507,150,2309
100,628198,150,2309
101,632816,632816,0
102,632816,36891,2167
103,628482,309,2301
104,626181,309,2301
105,630783,35,2302
106,633085,633085,0
107,633085,633085,0
108,633085,633085,0
109,633085,6995,2285
110,635370,670,2308
111,639986,670,2308
112,642294,114,2310
113,639984,114,2310
114,639984,639984,0
115,639984,639984,0
116,639984,17850,2214
117,639984,17850,2214
118,642198,366,2276
119,639922,639922,0
120,639922,639922,0
121,639922,4639,2277
122,637645,4639,2277
123,639922,454,2292
124,642214,454,2292
125,644506,454,2292
126,649090,171,2293
127,646797,171,2293
128,651383,171,2293
129,651383,171,2293
130,649090,171,2293
131,649090,171,2293
132,644504,644504,0
133,644504,644504,0
134,644504,644504,0
135,644504,26544,2207
136,642297,1155,2298
137,639999,1155,2298
