时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,125000,0
4,125000,125000,0
5,125000,125000,0
6,125000,125000,0
7,125000,125000,0
8,125000,7944,1984
9,136904,7944,1984
10,154760,7944,1984
11,166664,7944,1984
12,178568,178568,0
13,178568,178568,0
14,178568,1818,1750
15,189068,1818,1750
16,199568,199568,0
17,199568,199568,0
18,199568,199568,0
19,199568,199568,0
20,199568,199568,0
21,199568,199568,0
22,199568,199568,0
23,199568,199568,0
24,199568,199568,0
25,199568,7274,1187
26,204316,7274,1187
27,210251,7274,1187
28,214999,7274,1187
29,218560,7274,1187
30,223308,722,1223
31,228200,164,1226
32,234330,164,1226
33,240460,164,1226
34,244138,164,1226
35,249042,164,1226
36,256398,164,1226
37,258850,258850,0
38,258850,27319,1087
39,262111,27319,1087
40,265372,27319,1087
41,268633,27319,1087
42,274068,27319,1087
43,274068,1441,1201
44,276470,296,1206
45,282500,282500,0
46,282500,282500,0
47,282500,282500,0
48,282500,282500,0
49,282500,282500,0
50,282500,92,1148
51,283648,92,1148
52,283648,92,1148
53,283648,92,1148
54,285944,92,1148
55,288240,92,1148
56,289388,92,1148
57,293980,92,1148
58,293980,92,1148
59,293980,92,1148
60,295128,92,1148
61,293980,92,1148
62,292832,92,1148
63,293980,92,1148
64,293980,92,1148
65,293980,293980,0
66,293980,293980,0
67,293980,293980,0
68,293980,24889,1031
69,296042,24889,1031
70,297073,24889,1031
71,300166,24889,1031
72,301197,769,1121
73,301197,769,1121
74,303439,769,1121
75,304560,769,1121
76,304560,769,1121
77,307923,769,1121
78,307923,221,1123
79,311292,166975,521
80,312855,166975,521
81,312855,166975,521
82,312855,312855,0
83,312855,312855,0
84,312855,312855,0
85,312855,312855,0
86,312855,312855,0
87,312855,312855,0
88,312855,312855,0
89,312855,312855,0
90,312855,18929,1046
91,313901,18929,1046
92,312855,18929,1046
93,313901,18929,1046
94,312855,18929,1046
95,308671,1755,1108
96,306455,1755,1108
97,305347,111,1114
98,305347,305347,0
99,305347,305347,0
100,305347,8867,1090
101,307527,647,1120
102,308647,647,1120
103,306407,306407,0
104,306407,135,1126
105,308659,135,1126
106,309785,135,1126
107,308659,135,1126
108,307533,135,1126
109,308659,135,1126
110,309785,135,1126
111,312037,135,1126
112,313163,313163,0
113,313163,313163,0
114,313163,313163,0
115,313163,2363,1110
116,314273,115,1118
117,314273,115,1118
118,315391,115,1118
119,314273,314273,0
120,314273,18033,1058
121,313215,18033,1058
122,312157,241,1122
123,313279,241,1122
124,314401,314401,0
125,314401,314401,0
126,314401,5648,1091
127,313310,290,1110
128,315530,290,1110
129,315530,315530,0
130,315530,5645,1095
131,315530,551,1113
132,313304,551,1113
133,313304,551,1113
134,315530,268,1114
135,312188,312188,0
136,312188,15053,1065
