时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,138000,0
6,138000,138000,0
7,138000,16671,2379
8,157032,16671,2379
9,171306,16671,2379
10,192717,16671,2379
11,206991,1231,2572
12,222423,1231,2572
13,240427,22,2585
14,261107,22,2585
15,276617,276617,0
16,276617,276617,0
17,276617,276617,0
18,276617,27867,1990
19,286567,27867,1990
20,298507,531,2191
21,311653,105,2194
22,324817,324817,0
23,324817,4282,2095
24,335292,332,2120
25,343772,343772,0
26,343772,343772,0
27,343772,7928,1964
28,351628,7928,1964
29,357520,7928,1964
30,365376,7928,1964
31,373232,373232,0
32,373232,373232,0
33,373232,373232,0
34,373232,11052,1820
35,380512,11052,1820
36,391432,11052,1820
37,395072,11052,1820
38,398712,398712,0
39,398712,398712,0
40,398712,14148,1756
41,403980,403980,0
42,403980,403980,0
43,403980,403980,0
44,403980,403980,0
45,403980,6882,1697
46,410768,6882,1697
47,412465,429,1724
48,415913,188,1725
49,421088,188,1725
50,424538,424538,0
51,424538,1921,1711
52,424538,1921,1711
53,424538,424538,0
54,424538,3479,1691
55,427920,3479,1691
56,429611,3479,1691
57,436375,3479,1691
58,436375,3479,1691
59,436375,3479,1691
60,438066,3479,1691
61,436375,151,1704
62,434671,151,1704
63,436375,151,1704
64,436375,151,1704
65,436375,151,1704
66,438079,151,1704
67,439783,151,1704
68,444895,151,1704
69,448303,151,1704
70,450007,151,1704
71,455119,455119,0
72,455119,44543,1532
73,455119,1395,1693
74,458505,1395,1693
75,460198,1395,1693
76,460198,311,1697
77,465289,311,1697
78,465289,311,1697
79,470380,470380,0
80,470380,49820,1502
81,470380,49820,1502
82,470380,2780,1670
83,470380,260,1679
84,470380,470380,0
85,470380,470380,0
86,470380,58715,1465
87,468915,3555,1662
88,467253,3555,1662
89,467253,3555,1662
90,470577,470577,0
91,470577,470577,0
92,470577,470577,0
93,470577,470577,0
94,470577,20977,1600
95,464177,20977,1600
96,460977,352,1675
97,459302,352,1675
98,459302,459302,0
99,459302,459302,0
100,459302,459302,0
101,459302,37068,1541
102,460843,37068,1541
103,457761,37068,1541
104,456220,37068,1541
105,459302,37068,1541
106,460843,460843,0
107,460843,1893,1675
108,459168,255,1681
109,460849,255,1681
110,462530,462530,0
111,462530,49246,1492
112,464022,596,1667
113,462355,596,1667
114,462355,596,1667
115,467356,36,1669
116,469025,36,1669
117,469025,36,1669
118,470694,36,1669
119,469025,36,1669
120,467356,36,1669
121,465687,36,1669
122,464018,36,1669
123,465687,36,1669
124,467356,36,1669
125,469025,36,1669
126,472363,36,1669
127,470694,470694,0
128,470694,39582,1518
129,470694,39582,1518
130,469176,39582,1518
131,469176,39582,1518
132,466140,3052,1648
133,466140,242,1658
134,469456,242,1658
