时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,100000,1000
7,151000,151000,0
8,151000,16067,2287
9,164722,16067,2287
10,185305,185305,0
11,185305,185305,0
12,185305,185305,0
13,185305,185305,0
14,185305,185305,0
15,185305,185305,0
16,185305,19195,1470
17,194125,19195,1470
18,202945,820,1617
19,211030,820,1617
20,220732,820,1617
21,230434,230434,0
22,230434,11838,1477
23,237819,11838,1477
24,245204,1252,1544
25,251380,1252,1544
26,257556,1252,1544
27,265276,265276,0
28,265276,265276,0
29,265276,4506,1465
30,271136,320,1488
31,277088,134,1489
32,284533,134,1489
33,291978,134,1489
34,296445,134,1489
35,302401,134,1489
36,311335,311335,0
37,311335,311335,0
38,311335,311335,0
39,311335,311335,0
40,311335,311335,0
41,311335,16075,1330
42,317985,16075,1330
43,317985,639,1398
44,320781,639,1398
45,327771,639,1398
46,333363,268151,274
47,333637,268151,274
48,334185,268151,274
49,335007,268151,274
50,335555,4439,1346
51,336901,4439,1346
52,336901,4439,1346
53,336901,4439,1346
54,339593,339593,0
55,339593,339593,0
56,339593,339593,0
57,339593,9097,1291
58,339593,1161,1322
59,339593,137,1326
60,340919,137,1326
61,339593,137,1326
62,338267,137,1326
63,339593,137,1326
64,339593,137,1326
65,339593,137,1326
66,340919,340919,0
67,340919,340919,0
68,340919,35288,1171
69,343261,1098,1301
70,344562,42,1305
71,348477,42,1305
72,349782,42,1305
73,349782,42,1305
74,352392,42,1305
75,353697,42,1305
76,353697,42,1305
77,357612,42,1305
78,357612,357612,0
79,357612,357612,0
80,357612,357612,0
81,357612,357612,0
82,357612,357612,0
83,357612,357612,0
84,357612,357612,0
85,357612,357612,0
86,357612,35586,1146
87,356466,35586,1146
88,355320,35586,1146
89,355320,35586,1146
90,357612,35586,1146
91,358758,1464,1267
92,357491,59,1272
93,358763,59,1272
94,357491,59,1272
95,352403,59,1272
96,349859,59,1272
97,348587,59,1272
98,348587,59,1272
99,347315,59,1272
100,346043,59,1272
101,348587,348587,0
102,348587,348587,0
103,348587,8975,1244
104,347343,347343,0
105,347343,14707,1214
106,348557,407,1266
107,347291,133,1267
108,346024,133,1267
109,347291,133,1267
110,348558,133,1267
111,351092,133,1267
112,352359,133,1267
113,351092,133,1267
114,351092,351092,0
115,351092,6412,1231
116,352323,6412,1231
117,352323,6412,1231
118,353554,6412,1231
119,352323,6412,1231
120,351092,6412,1231
121,349861,6412,1231
122,348630,6412,1231
123,349861,553,1252
124,351113,553,1252
125,352365,272,1253
126,354871,272,1253
127,353618,272,1253
128,356124,272,1253
129,356124,272,1253
130,354871,272,1253
131,354871,272,1253
132,352365,272,1253
133,352365,272,1253
134,354871,354871,0
135,354871,354871,0
