时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,8450,4222
4,139332,8450,4222
5,168886,168886,0
6,168886,168886,0
7,168886,168886,0
8,168886,168886,0
9,168886,168886,0
10,168886,168886,0
11,168886,168886,0
12,168886,168886,0
13,168886,168886,0
14,168886,12437,1549
15,178180,178180,0
16,178180,178180,0
17,178180,178180,0
18,178180,178180,0
19,178180,178180,0
20,178180,178180,0
21,178180,178180,0
22,178180,178180,0
23,178180,178180,0
24,178180,178180,0
25,178180,178180,0
26,178180,178180,0
27,178180,178180,0
28,178180,13330,942
29,181006,13330,942
30,184774,226,1014
31,188830,40,1015
32,193905,40,1015
33,198980,40,1015
34,202025,40,1015
35,206085,40,1015
36,212175,40,1015
37,214205,40,1015
38,216235,40,1015
39,219280,40,1015
40,222325,40,1015
41,225370,40,1015
42,230445,40,1015
43,230445,40,1015
44,232475,40,1015
45,237550,40,1015
46,241610,40,1015
47,242625,242625,0
48,242625,9819,966
49,245523,547,1004
50,247531,547,1004
51,248535,547,1004
52,248535,547,1004
53,248535,53,1006
54,250547,250547,0
55,250547,250547,0
56,250547,250547,0
57,250547,250547,0
58,250547,250547,0
59,250547,250547,0
60,250547,250547,0
61,250547,250547,0
62,250547,250547,0
63,250547,250547,0
64,250547,20659,898
65,250547,947,975
66,251522,251522,0
67,251522,251522,0
68,251522,7487,935
69,253392,386,962
70,254354,122,963
71,257243,122,963
72,258206,122,963
73,258206,122,963
74,260132,122,963
75,261095,122,963
76,261095,122,963
77,263984,122,963
78,263984,122,963
79,266873,122,963
80,269762,122,963
81,269762,122,963
82,269762,122,963
83,269762,122,963
84,269762,122,963
85,271688,122,963
86,270725,122,963
87,269762,122,963
88,268799,122,963
89,268799,122,963
90,270725,122,963
91,271688,122,963
92,270725,122,963
93,271688,122,963
94,270725,122,963
95,266873,122,963
96,264947,122,963
97,263984,122,963
98,263984,263984,0
99,263984,263984,0
100,263984,263984,0
101,263984,263984,0
102,263984,12084,916
103,262152,891,957
104,261195,75,960
105,263115,75,960
106,264075,75,960
107,263115,75,960
108,262155,262155,0
109,262155,262155,0
110,262155,262155,0
111,262155,262155,0
112,262155,262155,0
113,262155,2052,939
114,262155,2052,939
115,264972,2052,939
116,265911,265911,0
117,265911,23408,863
118,266774,23408,863
119,265911,23408,863
120,265048,728,944
121,264104,170,946
122,263158,170,946
123,264104,170,946
124,265050,170,946
125,265996,170,946
126,267888,267888,0
127,267888,267888,0
128,267888,267888,0
129,267888,267888,0
130,267888,267888,0
131,267888,267888,0
132,267888,2905,943
133,267888,2905,943
134,269774,358,952
135,266918,358,952
136,265966,79,953
137,265013,79,953
138,264060,79,953
139,266919,79,953
140,266919,79,953
141,265013,79,953
142,264060,79,953
143,265966,79,953
144,266919,79,953
145,265966,265966,0
146,265966,265966,0
147,265966,27778,863
148,267692,534,961
149,266731,534,961
150,267692,256,962
151,265768,256,962
152,264806,256,962
153,264806,256,962
154,265768,265768,0
155,265768,265768,0
156,265768,265768,0
157,265768,9452,922
158,264846,588,954
159,265800,588,954
160,264846,588,954
161,266754,309,955
162,266754,30,956
163,267710,267710,0
164,267710,16331,901
165,268611,1211,955
166,267656,1211,955
167,267656,1211,955
168,267656,267656,0
169,267656,267656,0
170,267656,1182,962
171,267656,1182,962
172,267656,267656,0
173,267656,8560,932
174,265792,265792,0
175,265792,265792,0
176,265792,265792,0
177,265792,265792,0
178,265792,8560,932
179,265792,8560,932
180,265792,8560,932
181,266724,8560,932
182,266724,250,962
183,267686,250,962
184,268648,250,962
185,267686,267686,0
