时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,5950,2975
6,139825,5950,2975
7,157675,5950,2975
8,181475,5950,2975
9,199325,945,3052
10,226793,945,3052
11,245105,245105,0
12,245105,245105,0
13,245105,245105,0
14,245105,245105,0
15,245105,13022,2169
16,258119,13022,2169
17,271133,765,2272
18,284765,140,2277
19,296150,10,2278
20,309818,10,2278
21,323486,10,2278
22,337154,337154,0
23,337154,4379,2175
24,348029,348029,0
25,348029,16415,2047
26,356217,356217,0
27,356217,356217,0
28,356217,356217,0
29,356217,356217,0
30,356217,356217,0
31,356217,356217,0
32,356217,356217,0
33,356217,356217,0
34,356217,8763,1746
35,363201,846,1785
36,373911,846,1785
37,377481,846,1785
38,381051,846,1785
39,386406,198,1788
40,391770,198,1788
41,397134,397134,0
42,397134,16909,1675
43,397134,1246,1744
44,400622,330,1748
45,409362,330,1748
46,416354,416354,0
47,416354,416354,0
48,416354,416354,0
49,416354,416354,0
50,416354,416354,0
51,416354,19425,1607
52,416354,416354,0
53,416354,1888,1678
54,419710,145,1685
55,423080,145,1685
56,424765,145,1685
57,431505,431505,0
58,431505,431505,0
59,431505,10129,1646
60,433151,433151,0
61,433151,433151,0
62,433151,433151,0
63,433151,433151,0
64,433151,433151,0
65,433151,49663,1498
66,434649,49663,1498
67,436147,2965,1679
68,441184,2965,1679
69,444542,444542,0
70,444542,13166,1634
71,449444,13166,1634
72,451078,838,1680
73,451078,838,1680
74,454438,838,1680
75,456118,25,1683
76,456118,25,1683
77,461167,25,1683
78,461167,25,1683
79,466216,25,1683
80,471265,25,1683
81,471265,25,1683
82,471265,25,1683
83,471265,25,1683
84,471265,471265,0
85,471265,471265,0
86,471265,35715,1550
87,469715,995,1674
88,468041,995,1674
89,468041,995,1674
90,471389,995,1674
91,473063,995,1674
92,471389,995,1674
93,473063,995,1674
94,471389,995,1674
95,464693,464693,0
96,464693,464693,0
97,464693,464693,0
98,464693,464693,0
99,464693,25982,1607
100,463086,25982,1607
101,466300,25982,1607
102,467907,2057,1694
103,464519,2057,1694
104,462825,153,1701
105,466227,153,1701
106,467928,153,1701
107,466227,153,1701
108,464526,153,1701
109,466227,153,1701
110,467928,153,1701
111,471330,153,1701
112,473031,153,1701
113,471330,153,1701
114,471330,153,1701
115,476433,153,1701
116,478134,153,1701
117,478134,153,1701
118,479835,153,1701
119,478134,153,1701
120,476433,153,1701
121,474732,153,1701
122,473031,153,1701
123,474732,153,1701
124,476433,153,1701
125,478134,153,1701
126,481536,153,1701
127,479835,153,1701
128,483237,153,1701
129,483237,153,1701
130,481536,153,1701
131,481536,153,1701
132,478134,153,1701
133,478134,153,1701
134,481536,153,1701
135,476433,153,1701
136,474732,153,1701
137,473031,153,1701
