时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,114000,0
13,114000,114000,0
14,114000,114000,0
15,114000,114000,0
16,114000,114000,0
17,114000,114000,0
18,114000,114000,0
19,114000,7400,820
20,118920,7400,820
21,123840,16,872
22,129072,16,872
23,133432,16,872
24,137792,16,872
25,141280,16,872
26,144768,16,872
27,149128,16,872
28,152616,16,872
29,155232,16,872
30,158720,16,872
31,162208,162208,0
32,162208,162208,0
33,162208,162208,0
34,162208,162208,0
35,162208,5492,772
36,166840,267,797
37,168434,267,797
38,170028,267,797
39,172419,172419,0
40,172419,172419,0
41,172419,6141,749
42,176164,176164,0
43,176164,21350,682
44,177528,21350,682
45,180938,21350,682
46,183666,406,770
47,184436,406,770
48,185976,185976,0
49,185976,185976,0
50,185976,185976,0
51,185976,185976,0
52,185976,3196,740
53,185976,3196,740
54,187456,3196,740
55,188936,3196,740
56,189676,172,752
57,192684,172,752
58,192684,172,752
59,192684,172,752
60,193436,172,752
61,192684,172,752
62,191932,172,752
63,192684,172,752
64,192684,172,752
65,192684,192684,0
66,192684,192684,0
67,192684,192684,0
68,192684,9201,703
69,194090,194090,0
70,194090,194090,0
71,194090,2384,718
72,194808,2384,718
73,194808,194808,0
74,194808,9858,685
75,195493,9858,685
76,195493,644,719
77,197650,96,721
78,197650,96,721
79,199813,96,721
80,201976,96,721
81,201976,96,721
82,201976,96,721
83,201976,96,721
84,201976,96,721
85,203418,96,721
86,202697,96,721
87,201976,96,721
88,201255,96,721
89,201255,96,721
90,202697,96,721
91,203418,96,721
92,202697,96,721
93,203418,96,721
94,202697,96,721
95,199813,96,721
96,198371,96,721
97,197650,96,721
98,197650,96,721
99,196929,96,721
100,196208,96,721
101,197650,96,721
102,198371,96,721
103,196929,96,721
104,196208,96,721
105,197650,197650,0
106,197650,7625,691
107,196959,7625,691
108,196268,800,716
109,196984,252,718
110,197702,197702,0
111,197702,197702,0
112,197702,197702,0
113,197702,20699,639
114,197702,478,712
115,199838,478,712
116,200550,478,712
117,200550,478,712
118,201262,196,713
119,200549,196,713
120,199836,196,713
121,199123,199123,0
122,199123,199123,0
123,199123,199123,0
124,199123,199123,0
125,199123,2142,701
126,200525,2142,701
127,199824,168,708
128,201240,168,708
129,201240,168,708
130,200532,168,708
131,200532,168,708
132,199116,168,708
133,199116,168,708
134,200532,168,708
135,198408,168,708
136,197700,168,708
137,196992,168,708
138,196284,168,708
139,198408,168,708
140,198408,168,708
141,196992,168,708
142,196284,168,708
143,197700,168,708
144,198408,168,708
145,197700,168,708
146,196992,168,708
147,195576,168,708
148,196992,168,708
149,196284,168,708
150,196992,168,708
151,195576,168,708
152,194868,168,708
153,194868,168,708
154,195576,168,708
155,195576,168,708
156,196992,168,708
157,196992,168,708
158,196284,168,708
159,196992,168,708
160,196284,168,708
161,197700,197700,0
162,197700,197700,0
163,197700,3660,693
164,197007,197007,0
165,197007,197007,0
166,197007,197007,0
167,197007,1428,701
168,197007,312,705
169,196302,34,706
170,195596,195596,0
171,195596,2804,696
172,195596,2804,696
173,196292,2804,696
174,194900,320,705
175,194900,320,705
176,194900,44,706
177,194900,44,706
178,194900,44,706
179,194900,44,706
180,194900,44,706
181,195606,44,706
182,195606,44,706
183,196312,44,706
184,197018,44,706
185,196312,44,706
186,196312,44,706
187,197724,44,706
188,198430,44,706
189,198430,44,706
190,198430,44,706
191,197018,44,706
