时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,145000,0
7,145000,145000,0
8,145000,145000,0
9,145000,145000,0
10,145000,145000,0
11,145000,145000,0
12,145000,145000,0
13,145000,145000,0
14,145000,14306,1294
15,152764,1466,1414
16,161248,1466,1414
17,169732,1466,1414
18,178216,1466,1414
19,185286,166,1424
20,193830,166,1424
21,202374,166,1424
22,210918,18,1425
23,218043,18,1425
24,225168,225168,0
25,225168,225168,0
26,225168,18664,1244
27,231388,231388,0
28,231388,231388,0
29,231388,22416,1174
30,236084,212,1296
31,241268,212,1296
32,247748,212,1296
33,254228,16,1297
34,258119,16,1297
35,263307,16,1297
36,271089,271089,0
37,271089,13458,1221
38,273531,465,1282
39,277377,465,1282
40,281223,465,1282
41,285069,465,1282
42,291479,465,1282
43,291479,238,1283
44,294045,9,1284
45,300465,9,1284
46,305601,9,1284
47,306885,9,1284
48,309453,9,1284
49,313305,9,1284
50,315873,9,1284
51,317157,9,1284
52,317157,9,1284
53,317157,317157,0
54,317157,317157,0
55,317157,17965,1192
56,318349,1081,1259
57,323385,1081,1259
58,323385,57,1263
59,323385,57,1263
60,324648,57,1263
61,323385,57,1263
62,322122,57,1263
63,323385,57,1263
64,323385,57,1263
65,323385,57,1263
66,324648,324648,0
67,324648,4986,1239
68,328365,549,1256
69,330877,330877,0
70,330877,5101,1234
71,334579,334579,0
72,334579,334579,0
73,334579,334579,0
74,334579,334579,0
75,334579,1249,1230
76,334579,1249,1230
77,338269,1249,1230
78,338269,153,1234
79,341971,153,1234
80,345673,153,1234
81,345673,153,1234
82,345673,153,1234
83,345673,153,1234
84,345673,153,1234
85,348141,153,1234
86,346907,346907,0
87,346907,19867,1168
88,345739,19867,1168
89,345739,19867,1168
90,348075,197,1238
91,349313,197,1238
92,348075,197,1238
93,349313,197,1238
94,348075,197,1238
95,343123,197,1238
96,340647,197,1238
97,339409,197,1238
98,339409,197,1238
99,338171,197,1238
100,336933,336933,0
101,336933,15531,1173
102,338106,338106,0
103,338106,3681,1225
104,336881,3681,1225
105,339331,3681,1225
106,340556,3681,1225
107,339331,3681,1225
108,338106,405,1237
109,339343,405,1237
110,340580,130,1238
111,343056,130,1238
112,344294,130,1238
113,343056,130,1238
114,343056,130,1238
115,346770,130,1238
116,348008,130,1238
117,348008,130,1238
118,349246,130,1238
119,348008,130,1238
120,346770,130,1238
121,345532,345532,0
122,345532,36674,1111
123,346643,36674,1111
124,347754,36674,1111
125,348865,3235,1230
126,351325,3235,1230
127,350095,3235,1230
128,352555,3235,1230
129,352555,3235,1230
130,351325,3235,1230
131,351325,3235,1230
132,348865,3235,1230
133,348865,425,1240
134,351345,351345,0
135,351345,21225,1179
