时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,119000,0
7,119000,119000,0
8,119000,119000,0
9,119000,119000,0
10,119000,119000,0
11,119000,119000,0
12,119000,119000,0
13,119000,119000,0
14,119000,119000,0
15,119000,119000,0
16,119000,119000,0
17,119000,119000,0
18,119000,119000,0
19,119000,119000,0
20,119000,119000,0
21,119000,6394,793
22,123758,6394,793
23,127723,274,833
24,131888,131888,0
25,131888,5528,780
26,135008,382,811
27,139063,382,811
28,142307,382,811
29,144740,382,811
30,147984,147984,0
31,147984,147984,0
32,147984,147984,0
33,147984,1572,747
34,150225,1572,747
35,153213,151,754
36,157737,151,754
37,159245,151,754
38,160753,160753,0
39,160753,160753,0
40,160753,7,734
41,162955,7,734
42,166625,7,734
43,166625,7,734
44,168093,7,734
45,171763,7,734
46,174699,7,734
47,175433,7,734
48,176901,7,734
49,179103,7,734
50,180571,7,734
51,181305,181305,0
52,181305,21496,647
53,181305,21496,647
54,182599,2572,723
55,184045,2572,723
56,184768,2572,723
57,187660,268,732
58,187660,268,732
59,187660,187660,0
60,187660,187660,0
61,187660,6412,708
62,186952,6412,708
63,187660,6412,708
64,187660,187660,0
65,187660,10508,692
66,188352,10508,692
67,189044,188,732
68,191240,188,732
69,192704,188,732
70,193436,193436,0
71,193436,3599,711
72,194147,383,723
73,194147,383,723
74,195593,383,723
75,196316,383,723
76,196316,112,724
77,198488,112,724
78,198488,198488,0
79,198488,198488,0
80,198488,198488,0
81,198488,198488,0
82,198488,7528,682
83,198488,198488,0
84,198488,198488,0
85,198488,2216,696
86,197792,2216,696
87,197096,2216,696
88,196400,2216,696
89,196400,2216,696
90,197792,249,703
91,198495,249,703
92,197792,249,703
93,198495,249,703
94,197792,249,703
95,194980,249,703
96,193574,249,703
97,192871,249,703
98,192871,249,703
99,192168,249,703
100,191465,249,703
101,192871,249,703
102,193574,249,703
103,192168,249,703
104,191465,249,703
105,192871,249,703
106,193574,249,703
107,192871,249,703
108,192168,249,703
109,192871,249,703
110,193574,249,703
111,194980,194980,0
112,194980,936,698
113,194282,105,701
114,194282,194282,0
115,194282,3602,681
116,194963,194963,0
117,194963,194963,0
118,194963,194963,0
119,194963,194963,0
120,194963,194963,0
121,194963,194963,0
122,194963,194963,0
123,194963,11381,658
124,195621,11381,658
125,196279,11381,658
126,197595,11381,658
127,196937,1511,693
128,198323,198323,0
129,198323,198323,0
130,198323,6166,679
131,198323,223,700
132,196923,223,700
133,196923,223,700
134,198323,223,700
135,196223,223,700
136,195523,223,700
137,194823,223,700
138,194123,223,700
139,196223,223,700
140,196223,223,700
141,194823,223,700
142,194123,223,700
143,195523,223,700
144,196223,223,700
145,195523,223,700
146,194823,194823,0
