时间,市值,资金,持仓
0,109000,100000,1000
1,114000,12500,7250
2,150250,12500,7250
3,193750,12500,7250
4,237250,237250,0
5,237250,237250,0
6,237250,237250,0
7,237250,17287,4313
8,271754,271754,0
9,271754,271754,0
10,271754,271754,0
11,271754,271754,0
12,271754,271754,0
13,271754,271754,0
14,271754,271754,0
15,271754,271754,0
16,271754,271754,0
17,271754,6741,2227
18,285116,285116,0
19,285116,285116,0
20,285116,285116,0
21,285116,285116,0
22,285116,285116,0
23,285116,17519,1749
24,293861,1245,1852
25,301269,1245,1852
26,308677,308677,0
27,308677,308677,0
28,308677,308677,0
29,308677,308677,0
30,308677,33311,1513
31,314729,33311,1513
32,322294,650,1684
33,330714,650,1684
34,335766,650,1684
35,342502,244,1686
36,352618,244,1686
37,355990,33,1687
38,359364,33,1687
39,364425,33,1687
40,369486,33,1687
41,374547,33,1687
42,382982,33,1687
43,382982,33,1687
44,386356,33,1687
45,394791,33,1687
46,401539,33,1687
47,403226,33,1687
48,406600,33,1687
49,411661,33,1687
50,415035,33,1687
51,416722,416722,0
52,416722,31402,1560
53,416722,31402,1560
54,419842,1771,1679
55,423200,1771,1679
56,424879,1771,1679
57,431595,235,1685
58,431595,235,1685
59,431595,235,1685
60,433280,235,1685
61,431595,235,1685
62,429910,429910,0
63,429910,429910,0
64,429910,429910,0
65,429910,5206,1659
66,431569,580,1677
67,433246,64,1679
68,438283,64,1679
69,441641,441641,0
70,441641,19241,1600
71,446441,19241,1600
72,448041,19241,1600
73,448041,213,1671
74,451383,213,1671
75,453054,453054,0
76,453054,213,1671
77,458067,213,1671
78,458067,458067,0
79,458067,186,1653
80,463026,186,1653
81,463026,186,1653
82,463026,186,1653
83,463026,186,1653
84,463026,186,1653
85,466332,186,1653
86,464679,186,1653
87,463026,186,1653
88,461373,186,1653
89,461373,186,1653
90,464679,186,1653
91,466332,186,1653
92,464679,186,1653
93,466332,186,1653
94,464679,464679,0
95,464679,464679,0
96,464679,464679,0
97,464679,464679,0
98,464679,464679,0
99,464679,13410,1653
100,463026,1714,1696
101,466418,1714,1696
102,468114,1714,1696
103,464722,1714,1696
104,463026,82,1702
105,466430,82,1702
106,468132,468132,0
107,468132,468132,0
108,468132,468132,0
109,468132,468132,0
110,468132,43532,1544
111,471220,471220,0
112,471220,471220,0
113,471220,471220,0
114,471220,471220,0
115,471220,471220,0
116,471220,10099,1641
117,471220,545,1675
118,472895,472895,0
119,472895,19642,1613
120,471282,471282,0
