时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,8825,4407
4,145442,8825,4407
5,176291,8825,4407
6,207140,8825,4407
7,233582,8825,4407
8,268838,447,4549
9,296132,57,4555
10,337127,57,4555
11,364457,57,4555
12,391787,57,4555
13,423672,57,4555
14,460112,57,4555
15,487442,57,4555
16,514772,57,4555
17,542102,57,4555
18,569432,57,4555
19,592207,57,4555
20,619537,57,4555
21,646867,57,4555
22,674197,57,4555
23,696972,57,4555
24,719747,57,4555
25,737967,737967,0
26,737967,737967,0
27,737967,737967,0
28,737967,737967,0
29,737967,737967,0
30,737967,8147,4010
31,754007,8147,4010
32,774057,507,4050
33,794307,507,4050
34,806457,507,4050
35,822657,507,4050
36,846957,507,4050
37,855057,85,4052
38,863161,85,4052
39,875317,85,4052
40,887473,85,4052
41,899629,85,4052
42,919889,85,4052
43,919889,85,4052
44,927993,927993,0
45,927993,15627,3899
46,943589,15627,3899
47,947488,570,3962
48,955412,570,3962
49,967298,570,3962
50,975222,570,3962
51,979184,570,3962
52,979184,570,3962
53,979184,570,3962
54,987108,72,3964
55,995036,72,3964
56,999000,72,3964
57,1014856,72,3964
58,1014856,72,3964
59,1014856,72,3964
60,1018820,72,3964
61,1014856,72,3964
62,1010892,72,3964
63,1014856,72,3964
64,1014856,72,3964
65,1014856,72,3964
66,1018820,72,3964
67,1022784,72,3964
68,1034676,72,3964
69,1042604,72,3964
70,1046568,72,3964
71,1058460,72,3964
72,1062424,72,3964
73,1062424,1062424,0
74,1062424,1062424,0
75,1062424,99561,3553
76,1062424,1062424,0
77,1062424,1062424,0
78,1062424,26704,3780
79,1073764,26704,3780
80,1085104,104,3875
81,1085104,104,3875
82,1085104,104,3875
83,1085104,104,3875
84,1085104,104,3875
85,1092854,104,3875
86,1088979,104,3875
87,1085104,104,3875
88,1081229,104,3875
89,1081229,104,3875
90,1088979,104,3875
91,1092854,104,3875
92,1088979,104,3875
93,1092854,104,3875
94,1088979,104,3875
95,1073479,104,3875
96,1065729,104,3875
97,1061854,104,3875
98,1061854,104,3875
99,1057979,104,3875
100,1054104,1054104,0
101,1054104,1054104,0
102,1054104,1054104,0
103,1054104,22710,3778
104,1050326,1050326,0
105,1050326,1050326,0
106,1050326,81226,3524
107,1046802,2040,3813
108,1042989,129,3820
109,1046809,1046809,0
110,1046809,1046809,0
111,1046809,1046809,0
112,1046809,1046809,0
113,1046809,1046809,0
114,1046809,1046809,0
115,1046809,1046809,0
116,1046809,1046809,0
117,1046809,1046809,0
118,1046809,3973,3698
119,1043111,3973,3698
120,1039413,333,3711
121,1035702,54,3712
122,1031990,54,3712
123,1035702,54,3712
124,1039414,54,3712
125,1043126,54,3712
126,1050550,54,3712
127,1046838,54,3712
128,1054262,54,3712
129,1054262,54,3712
