时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,131000,0
5,131000,131000,0
6,131000,131000,0
7,131000,131000,0
8,131000,131000,0
9,131000,131000,0
10,131000,131000,0
11,131000,131000,0
12,131000,131000,0
13,131000,131000,0
14,131000,131000,0
15,131000,131000,0
16,131000,131000,0
17,131000,131000,0
18,131000,131000,0
19,131000,131000,0
20,131000,131000,0
21,131000,131000,0
22,131000,131000,0
23,131000,8906,798
24,134990,8906,798
25,138182,8906,798
26,141374,8906,798
27,145364,8906,798
28,148556,8906,798
29,150950,184,847
30,154338,184,847
31,157726,157726,0
32,157726,157726,0
33,157726,3278,788
34,160090,3278,788
35,163242,3278,788
36,167970,3278,788
37,169546,535,801
38,171148,535,801
39,173551,535,801
40,175954,535,801
41,178357,91,803
42,182372,91,803
43,182372,91,803
44,183978,91,803
45,187993,91,803
46,191205,191205,0
47,191205,191205,0
48,191205,18649,716
49,193353,18649,716
50,194785,18649,716
51,195501,18649,716
52,195501,1359,786
53,195501,124,791
54,197083,124,791
55,198665,124,791
56,199456,124,791
57,202620,124,791
58,202620,124,791
59,202620,124,791
60,203411,124,791
61,202620,202620,0
62,202620,3210,782
63,203402,3210,782
64,203402,3210,782
65,203402,3210,782
66,204184,3210,782
67,204966,204966,0
68,204966,204966,0
69,204966,204966,0
70,204966,204966,0
71,204966,204966,0
72,204966,5306,745
73,204966,214,764
74,206494,214,764
75,207258,214,764
76,207258,207258,0
77,207258,207258,0
78,207258,10800,717
79,209409,209409,0
80,209409,209409,0
81,209409,5849,727
82,209409,5849,727
83,209409,5849,727
84,209409,249,747
85,210903,249,747
86,210156,249,747
87,209409,249,747
88,208662,249,747
89,208662,249,747
90,210156,249,747
91,210903,249,747
92,210156,249,747
93,210903,249,747
94,210156,249,747
95,207168,249,747
96,205674,249,747
97,204927,249,747
98,204927,204927,0
99,204927,204927,0
100,204927,204927,0
101,204927,204927,0
102,204927,204927,0
103,204927,204927,0
104,204927,204927,0
105,204927,204927,0
106,204927,204927,0
107,204927,204927,0
108,204927,204927,0
109,204927,21073,671
110,205598,723,745
111,207088,169,747
112,207835,207835,0
113,207835,207835,0
114,207835,24738,661
115,209818,938,746
116,210564,210564,0
117,210564,12740,704
118,211268,12740,704
119,210564,12740,704
120,209860,140,749
121,209111,140,749
122,208362,140,749
123,209111,140,749
124,209860,140,749
125,210609,140,749
126,212107,140,749
127,211358,140,749
128,212856,212856,0
129,212856,3832,736
130,212120,3832,736
131,212120,3832,736
132,210648,3832,736
133,210648,179,749
134,212146,179,749
135,209899,179,749
136,209150,179,749
137,208401,179,749
138,207652,179,749
139,209899,179,749
140,209899,179,749
141,208401,179,749
142,207652,179,749
143,209150,179,749
144,209899,179,749
145,209150,179,749
