时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,114000,0
13,114000,2400,1200
14,123600,2400,1200
15,130800,2400,1200
16,138000,138000,0
17,138000,138000,0
18,138000,8375,1037
19,143185,8375,1037
20,149407,487,1095
21,155977,487,1095
22,162547,487,1095
23,168022,487,1095
24,173497,487,1095
25,177877,163,1097
26,182265,163,1097
27,187750,163,1097
28,192138,163,1097
29,195429,163,1097
30,199817,163,1097
31,204205,163,1097
32,209690,163,1097
33,215175,163,1097
34,218466,163,1097
35,222854,163,1097
36,229436,163,1097
37,231630,163,1097
38,233824,233824,0
39,233824,16312,1007
40,236845,16312,1007
41,239866,239866,0
42,239866,239866,0
43,239866,1062,1052
44,241970,146,1056
45,247250,146,1056
46,251474,146,1056
47,252530,146,1056
48,254642,146,1056
49,257810,257810,0
50,257810,257810,0
51,257810,257810,0
52,257810,5129,1023
53,257810,257810,0
54,257810,257810,0
55,257810,7061,999
56,258809,7061,999
57,262805,7061,999
58,262805,7061,999
59,262805,7061,999
60,263804,636,1024
61,262780,124,1026
62,261754,124,1026
63,262780,124,1026
64,262780,124,1026
65,262780,124,1026
66,263806,263806,0
67,263806,263806,0
68,263806,263806,0
69,263806,263806,0
70,263806,8782,966
71,266704,8782,966
72,267670,474,997
73,267670,474,997
74,269664,474,997
75,270661,474,997
76,270661,474,997
77,273652,474,997
78,273652,474,997
79,276643,276643,0
80,276643,15123,934
81,276643,276643,0
82,276643,20163,916
83,276643,563,986
84,276643,563,986
85,278615,563,986
86,277629,563,986
87,276643,563,986
88,275657,284,987
89,275657,284,987
90,277631,284,987
91,278618,284,987
92,277631,277631,0
93,277631,21857,907
94,276724,1063,981
95,272800,1063,981
96,270838,1063,981
97,269857,241,984
98,269857,241,984
99,268873,241,984
100,267889,241,984
101,269857,241,984
102,270841,241,984
103,268873,241,984
104,267889,267889,0
105,267889,267889,0
106,267889,15714,917
107,266972,1192,970
108,266002,266002,0
109,266002,266002,0
110,266002,266002,0
111,266002,266002,0
112,266002,266002,0
113,266002,13932,910
114,266002,266002,0
115,266002,266002,0
116,266002,266002,0
117,266002,20970,872
118,266874,20970,872
119,266002,1581,941
120,265061,181,946
121,264115,181,946
122,263169,263169,0
123,263169,27135,846
124,264015,27135,846
125,264861,27135,846
126,266553,27135,846
127,265707,265707,0
128,265707,265707,0
129,265707,265707,0
130,265707,265707,0
131,265707,265707,0
132,265707,265707,0
133,265707,2972,935
134,267577,2972,935
135,264772,2972,935
136,263837,2972,935
137,262902,262902,0
138,262902,21912,870
139,265512,21912,870
140,265512,1192,944
141,263624,263624,0
142,263624,19587,881
143,265386,19587,881
144,266267,19587,881
145,265386,19587,881
146,264505,961,948
147,262609,961,948
148,264505,127,951
149,263554,263554,0
150,263554,263554,0
151,263554,1906,948
152,262606,262606,0
153,262606,262606,0
154,262606,11170,911
155,262606,262606,0
156,262606,262606,0
157,262606,30198,836
158,261770,1390,940
159,262710,278,944
160,261766,278,944
161,263654,278,944
162,263654,278,944
163,264598,278,944
164,263654,278,944
165,264598,278,944
166,263654,278,944
167,263654,278,944
168,263654,278,944
169,262710,278,944
170,261766,278,944
171,261766,278,944
172,261766,278,944
173,262710,278,944
174,260822,278,944
175,260822,278,944
176,260822,278,944
177,260822,278,944
178,260822,278,944
179,260822,278,944
180,260822,278,944
181,261766,261766,0
182,261766,261766,0
183,261766,261766,0
