时间,市值,资金,持仓
0,109000,100000,1000
1,114000,6676,7666
2,152330,152330,0
3,152330,152330,0
4,152330,152330,0
5,152330,152330,0
6,152330,152330,0
7,152330,5756,2874
8,175322,5756,2874
9,192566,192566,0
10,192566,14448,2407
11,207008,14448,2407
12,221450,14448,2407
13,238299,33,2562
14,258795,33,2562
15,274167,274167,0
16,274167,274167,0
17,274167,274167,0
18,274167,274167,0
19,274167,274167,0
20,274167,25695,1827
21,285129,25695,1827
22,296091,25695,1827
23,305226,25695,1827
24,314361,731,1985
25,322301,83,1989
26,330257,330257,0
27,330257,5699,1898
28,337849,5699,1898
29,343543,5699,1898
30,351135,351135,0
31,351135,351135,0
32,351135,351135,0
33,351135,351135,0
34,351135,10447,1712
35,357983,357983,0
36,357983,357983,0
37,357983,357983,0
38,357983,6746,1649
39,362930,6746,1649
40,367877,833,1676
41,372905,833,1676
42,381285,152,1679
43,381285,381285,0
44,381285,3435,1650
45,389535,3435,1650
46,396135,341,1663
47,397798,341,1663
48,401124,341,1663
49,406113,341,1663
50,409439,341,1663
51,411102,94,1664
52,411102,94,1664
53,411102,94,1664
54,414430,94,1664
55,417758,94,1664
56,419422,94,1664
57,426078,426078,0
58,426078,17758,1595
59,426078,426078,0
60,426078,426078,0
61,426078,426078,0
62,426078,41793,1507
63,427585,194625,910
64,427585,194625,910
65,427585,5185,1650
66,429235,5185,1650
67,430885,5185,1650
68,435835,5185,1650
69,439135,439135,0
70,439135,29671,1551
71,443788,443788,0
72,443788,443788,0
73,443788,443788,0
74,443788,19078,1573
75,445361,2276,1635
76,445361,108,1643
77,450290,108,1643
78,450290,108,1643
79,455219,455219,0
80,455219,455219,0
81,455219,455219,0
82,455219,455219,0
83,455219,455219,0
84,455219,455219,0
85,455219,455219,0
86,455219,17421,1558
87,453661,341,1619
88,452042,341,1619
89,452042,341,1619
90,455280,60,1620
91,456900,60,1620
92,455280,60,1620
93,456900,60,1620
94,455280,60,1620
95,448800,448800,0
96,448800,448800,0
97,448800,448800,0
98,448800,262,1637
99,447163,262,1637
100,445526,262,1637
101,448800,262,1637
102,450437,262,1637
103,447163,447163,0
104,447163,447163,0
105,447163,53425,1437
106,448600,1175,1627
107,446973,79,1631
108,445342,79,1631
109,446973,79,1631
110,448604,79,1631
111,451866,451866,0
112,451866,451866,0
113,451866,1741,1625
114,451866,1741,1625
115,456741,1741,1625
116,458366,336,1630
117,458366,55,1631
118,459997,55,1631
119,458366,55,1631
120,456735,55,1631
121,455104,55,1631
122,453473,55,1631
123,455104,55,1631
124,456735,55,1631
125,458366,55,1631
126,461628,461628,0
127,461628,461628,0
128,461628,461628,0
129,461628,3252,1614
130,460014,460014,0
131,460014,460014,0
132,460014,33456,1518
133,460014,33456,1518
134,463050,33456,1518
135,458496,33456,1518
136,456978,33456,1518
137,455460,2598,1629
138,453831,2598,1629
139,458718,2598,1629
140,458718,2598,1629
141,455460,2598,1629
142,453831,105,1638
143,457107,105,1638
144,458745,105,1638
145,457107,105,1638
146,455469,105,1638
147,452193,105,1638
148,455469,105,1638
149,453831,105,1638
150,455469,105,1638
151,452193,105,1638
152,450555,105,1638
153,450555,450555,0
154,450555,450555,0
155,450555,450555,0
156,450555,450555,0
157,450555,41339,1472
158,449083,66,1621
159,450704,66,1621
160,449083,66,1621
161,452325,66,1621
162,452325,66,1621
163,453946,66,1621
164,452325,66,1621
165,453946,453946,0
166,453946,453946,0
167,453946,453946,0
168,453946,23170,1544
169,452402,652,1625
170,450777,652,1625
171,450777,98,1627
172,450777,98,1627
173,452404,98,1627
174,449150,98,1627
175,449150,98,1627
176,449150,98,1627
177,449150,98,1627
178,449150,98,1627
179,449150,449150,0
180,449150,9758,1592
181,450742,63,1627
182,450742,63,1627
183,452369,63,1627
184,453996,63,1627
185,452369,63,1627
186,452369,63,1627
187,455623,63,1627
188,457250,63,1627
189,457250,457250,0
190,457250,457250,0
191,457250,457250,0
192,457250,248,1638
193,457250,248,1638
194,458888,248,1638
195,457250,248,1638
196,457250,248,1638
197,457250,248,1638
198,452336,248,1638
199,453974,248,1638
200,455612,248,1638
201,457250,457250,0
202,457250,457250,0
203,457250,21700,1550
204,458800,21700,1550
205,458800,21700,1550
206,457250,1468,1622
207,465360,324,1626
208,466986,37,1627
209,471867,37,1627
210,471867,37,1627
211,470240,37,1627
212,468613,37,1627
213,466986,37,1627
214,468613,37,1627
215,470240,37,1627
216,470240,37,1627
217,470240,37,1627
218,471867,471867,0
219,471867,123,1638
220,470229,123,1638
221,468591,123,1638
222,468591,123,1638
223,470229,123,1638
224,470229,123,1638
225,466953,123,1638
226,466953,123,1638
227,465315,123,1638
228,462039,123,1638
229,465315,123,1638
230,466953,123,1638
231,466953,123,1638
232,471867,123,1638
233,471867,123,1638
234,470229,123,1638
235,466953,123,1638
236,465315,123,1638
237,468591,123,1638
238,468591,468591,0
239,468591,468591,0
240,468591,468591,0
241,468591,1881,1655
242,465281,1881,1655
243,470246,470246,0
244,470246,22094,1578
245,468668,468668,0
246,468668,28037,1557
247,468668,28037,1557
248,470225,470225,0
249,470225,470225,0
250,470225,470225,0
251,470225,41101,1511
252,468714,915,1653
253,467061,69,1656
254,472029,69,1656
255,472029,69,1656
256,473685,69,1656
257,472029,69,1656
258,473685,69,1656
259,475341,69,1656
260,476997,69,1656
261,478653,69,1656
262,480309,69,1656
263,483621,69,1656
264,476997,69,1656
265,478653,69,1656
266,476997,69,1656
267,478653,69,1656
268,476997,69,1656
269,478653,69,1656
270,480309,69,1656
271,476997,69,1656
272,478653,69,1656
273,478653,69,1656
274,478653,69,1656
275,475341,69,1656
276,475341,69,1656
277,475341,69,1656
278,476997,69,1656
279,476997,69,1656
280,476997,69,1656
281,475341,69,1656
282,473685,69,1656
283,476997,69,1656
284,475341,69,1656
285,476997,476997,0
286,476997,476997,0
287,476997,20805,1584
288,473829,1357,1652
289,473829,213,1656
290,472173,213,1656
291,467205,213,1656
292,467205,213,1656
293,467205,213,1656
294,470517,213,1656
295,470517,213,1656
296,468861,468861,0
297,468861,468861,0
298,468861,177,1662
299,465537,177,1662
300,468861,177,1662
301,468861,177,1662
302,467199,177,1662
303,468861,177,1662
304,465537,465537,0
305,465537,465537,0
306,465537,465537,0
307,465537,9825,1616
308,463921,9825,1616
309,462305,865,1648
310,463953,463953,0
311,463953,69153,1410
312,466773,69153,1410
313,468183,468183,0
314,468183,468183,0
315,468183,3275,1637
316,468183,435,1647
317,469830,435,1647
318,473124,148,1648
319,476420,148,1648
320,476420,148,1648
321,478068,148,1648
322,479716,148,1648
323,484660,148,1648
324,486308,148,1648
325,487956,148,1648
326,486308,148,1648
327,484660,148,1648
328,487956,148,1648
329,492900,148,1648
330,489604,148,1648
331,491252,148,1648
332,489604,148,1648
333,489604,148,1648
334,489604,148,1648
335,492900,148,1648
336,491252,148,1648
337,492900,492900,0
338,492900,0,1643
339,491257,0,1643
340,491257,491257,0
341,491257,6578,1621
342,484773,383,1642
343,483131,383,1642
344,479847,91,1643
345,476561,91,1643
346,476561,91,1643
347,474918,91,1643
348,474918,474918,0
349,474918,20488,1567
350,474918,20488,1567
351,476485,20488,1567
352,478052,340,1636
353,478052,340,1636
354,476416,340,1636
355,476416,340,1636
356,476416,49,1637
357,474779,474779,0
358,474779,474779,0
359,474779,474779,0
360,474779,37655,1497
361,473282,37655,1497
362,473282,4772,1610
363,471672,422,1625
364,474922,422,1625
365,476547,476547,0
366,476547,476547,0
367,476547,6719,1609
368,476547,295,1631
369,473285,295,1631
370,471654,295,1631
371,470023,295,1631
372,466761,295,1631
373,463499,295,1631
374,460237,13,1632
375,460237,13,1632
376,458605,13,1632
377,456973,13,1632
378,456973,13,1632
379,458605,13,1632
380,458605,13,1632
381,455341,13,1632
382,453709,13,1632
383,456973,13,1632
384,455341,13,1632
385,455341,13,1632
386,455341,13,1632
387,455341,13,1632
388,455341,13,1632
389,455341,13,1632
390,453709,13,1632
391,453709,13,1632
392,452077,13,1632
393,453709,13,1632
394,456973,456973,0
395,456973,456973,0
396,456973,456973,0
397,456973,19053,1564
398,453845,19053,1564
399,453845,19053,1564
400,452281,217,1632
401,450649,217,1632
402,455545,217,1632
403,449017,217,1632
404,450649,217,1632
405,449017,217,1632
406,455545,217,1632
407,452281,452281,0
408,452281,452281,0
409,452281,452281,0
410,452281,452281,0
411,452281,42235,1502
412,452281,1012,1653
413,452281,1012,1653
414,447322,1012,1653
415,447322,1012,1653
416,448975,1012,1653
417,447322,202,1656
418,452290,202,1656
419,453946,202,1656
420,458914,202,1656
421,460570,202,1656
422,457258,202,1656
423,460570,202,1656
424,460570,460570,0
425,460570,220,1650
426,465520,465520,0
427,465520,465520,0
428,465520,465520,0
429,465520,42152,1496
430,464024,464024,0
431,464024,464024,0
432,464024,464024,0
433,464024,464024,0
