时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,2208,2192
8,131536,2208,2192
9,144688,2208,2192
10,164416,136,2220
11,177736,136,2220
12,191056,50,2221
13,206603,50,2221
14,224371,50,2221
15,237697,50,2221
16,251023,50,2221
17,264349,50,2221
18,277675,50,2221
19,288780,50,2221
20,302106,50,2221
21,315432,50,2221
22,328758,328758,0
23,328758,328758,0
24,328758,328758,0
25,328758,328758,0
26,328758,328758,0
27,328758,328758,0
28,328758,21108,1758
29,334032,1350,1869
30,341508,76,1876
31,349012,349012,0
32,349012,349012,0
33,349012,32472,1615
34,353857,1826,1769
35,360933,202,1777
36,371595,202,1777
37,375149,202,1777
38,378703,202,1777
39,384034,202,1777
40,389365,202,1777
41,394696,202,1777
42,403581,202,1777
43,403581,202,1777
44,407135,202,1777
45,416020,202,1777
46,423128,202,1777
47,424905,202,1777
48,428459,202,1777
49,433790,202,1777
50,437344,202,1777
51,439121,202,1777
52,439121,202,1777
53,439121,202,1777
54,442675,442675,0
55,442675,442675,0
56,442675,442675,0
57,442675,13619,1676
58,442675,13619,1676
59,442675,1075,1725
60,444400,1075,1725
61,442675,307,1728
62,440947,307,1728
63,442675,51,1729
64,442675,442675,0
65,442675,442675,0
66,442675,442675,0
67,442675,442675,0
68,442675,442675,0
69,442675,442675,0
70,442675,41131,1521
71,447238,41131,1521
72,448759,1199,1670
73,448759,1199,1670
74,452099,119,1674
75,453773,119,1674
76,453773,119,1674
77,458795,458795,0
78,458795,458795,0
79,458795,14487,1604
80,463607,14487,1604
81,463607,1047,1652
82,463607,1047,1652
83,463607,207,1655
84,463607,207,1655
85,466917,207,1655
86,465262,207,1655
87,463607,207,1655
88,461952,207,1655
89,461952,207,1655
90,465262,207,1655
91,466917,207,1655
92,465262,207,1655
93,466917,207,1655
94,465262,207,1655
95,458642,207,1655
96,455332,207,1655
97,453677,207,1655
98,453677,207,1655
99,452022,207,1655
100,450367,207,1655
101,453677,453677,0
102,453677,453677,0
103,453677,11417,1620
104,452057,11417,1620
105,455297,455297,0
106,455297,455297,0
107,455297,455297,0
108,455297,14675,1614
109,456911,14675,1614
110,458525,14675,1614
111,461753,14675,1614
112,463367,1053,1663
113,461704,461704,0
114,461704,28199,1565
115,466399,28199,1565
116,467964,467964,0
117,467964,467964,0
118,467964,6612,1636
119,466328,6612,1636
120,464692,732,1657
121,463035,732,1657
122,461378,176,1659
123,463037,176,1659
124,464696,176,1659
125,466355,176,1659
126,469673,469673,0
127,469673,8321,1636
128,472945,85,1665
129,472945,85,1665
130,471280,471280,0
131,471280,471280,0
132,471280,41350,1530
133,471280,41350,1530
134,474340,41350,1530
135,469750,41350,1530
136,468220,41350,1530
137,466690,41350,1530
138,465160,1185,1675
139,470185,1185,1675
140,470185,65,1679
141,466827,65,1679
142,465148,65,1679
143,468506,65,1679
144,470185,65,1679
145,468506,468506,0
146,468506,468506,0
147,468506,34634,1572
148,471650,34634,1572
149,470078,34634,1572
150,471650,2664,1687
151,468276,2664,1687
152,466589,466589,0
153,466589,466589,0
154,466589,466589,0
155,466589,21125,1614
156,469817,21125,1614
157,469817,21125,1614
158,468203,627,1688
159,469891,71,1690
160,468201,71,1690
161,471581,71,1690
162,471581,71,1690
163,473271,71,1690
164,471581,71,1690
165,473271,71,1690
166,471581,471581,0
167,471581,471581,0
168,471581,471581,0
169,471581,22611,1615
170,469966,1559,1691
171,469966,1559,1691
172,469966,174,1696
173,471662,174,1696
174,468270,174,1696
