时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,145000,0
7,145000,145000,0
8,145000,145000,0
9,145000,145000,0
10,145000,145000,0
11,145000,145000,0
12,145000,12388,1542
13,155794,155794,0
14,155794,155794,0
15,155794,155794,0
16,155794,155794,0
17,155794,155794,0
18,155794,155794,0
19,155794,155794,0
20,155794,155794,0
21,155794,155794,0
22,155794,155794,0
23,155794,155794,0
24,155794,155794,0
25,155794,155794,0
26,155794,155794,0
27,155794,155794,0
28,155794,155794,0
29,155794,7520,833
30,159126,58,874
31,162622,58,874
32,166992,58,874
33,171362,58,874
34,173984,58,874
35,177480,58,874
36,182724,182724,0
37,182724,1053,861
38,184446,1053,861
39,187029,189,865
40,189624,189,865
41,192219,189,865
42,196544,189,865
43,196544,189,865
44,198274,198274,0
45,198274,198274,0
46,198274,198274,0
47,198274,4206,812
48,199898,199898,0
49,199898,2502,809
50,201516,2502,809
51,202325,2502,809
52,202325,2502,809
53,202325,2502,809
54,203943,2502,809
55,205561,243,818
56,206379,243,818
57,209651,243,818
58,209651,243,818
59,209651,243,818
60,210469,243,818
61,209651,209651,0
62,209651,4886,803
63,210454,534,820
64,210454,534,820
65,210454,210454,0
66,210454,210454,0
67,210454,210454,0
68,210454,210454,0
69,210454,210454,0
70,210454,210454,0
71,210454,7801,759
72,211213,833,785
73,211213,29,788
74,212789,29,788
75,213577,29,788
76,213577,29,788
77,215941,29,788
78,215941,29,788
79,218305,29,788
80,220669,29,788
81,220669,220669,0
82,220669,220669,0
83,220669,3949,774
84,220669,309,787
85,222243,309,787
86,221456,309,787
87,220669,29,788
88,219881,29,788
89,219881,29,788
90,221457,221457,0
91,221457,4035,771
92,220686,4035,771
93,221457,369,784
94,220673,369,784
95,217537,92,785
96,215967,92,785
97,215182,215182,0
98,215182,215182,0
99,215182,215182,0
100,215182,215182,0
101,215182,4750,768
102,215950,4750,768
103,214414,4750,768
104,213646,213646,0
105,213646,213646,0
106,213646,213646,0
107,213646,7050,754
108,212892,7050,754
109,213646,7050,754
110,214400,214400,0
111,214400,214400,0
112,214400,13962,721
113,213679,13962,721
114,213679,213679,0
115,213679,213679,0
116,213679,18946,693
117,213679,400,759
118,214438,118,760
119,213678,118,760
120,212918,118,760
121,212158,118,760
122,211398,118,760
123,212158,118,760
124,212918,118,760
125,213678,118,760
126,215198,118,760
127,214438,214438,0
128,214438,214438,0
129,214438,214438,0
130,214438,214438,0
131,214438,214438,0
132,214438,214438,0
133,214438,2283,755
134,215948,302,762
135,213662,22,763
136,212899,212899,0
137,212899,212899,0
138,212899,9581,734
139,215101,215101,0
140,215101,215101,0
141,215101,11049,734
142,214367,1077,770
143,215907,215907,0
144,215907,215907,0
