时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,114000,0
13,114000,1284,1212
14,123696,1284,1212
15,130968,107,1223
16,138306,138306,0
17,138306,138306,0
18,138306,138306,0
19,138306,138306,0
20,138306,138306,0
21,138306,10080,903
22,143724,10080,903
23,148239,10080,903
24,152754,442,964
25,156610,442,964
26,160466,442,964
27,165286,100,966
28,169150,100,966
29,172048,100,966
30,175912,100,966
31,179776,100,966
32,184606,184606,0
33,184606,6442,909
34,187333,74,941
35,191097,74,941
36,196743,74,941
37,198625,198625,0
38,198625,198625,0
39,198625,8113,882
40,201271,667,916
41,204019,667,916
42,208599,208599,0
43,208599,208599,0
44,208599,208599,0
45,208599,208599,0
46,208599,208599,0
47,208599,208599,0
48,208599,12425,814
49,211041,225,864
50,212769,212769,0
51,212769,212769,0
52,212769,212769,0
53,212769,212769,0
54,212769,212769,0
55,212769,212769,0
56,212769,212769,0
57,212769,212769,0
58,212769,212769,0
59,212769,212769,0
60,212769,10253,788
61,211981,269,827
62,211154,269,827
63,211981,269,827
64,211981,269,827
65,211981,269,827
66,212808,269,827
67,213635,269,827
68,216116,8,828
69,217772,217772,0
70,217772,12644,777
71,220103,12644,777
72,220880,584,822
73,220880,584,822
74,222524,584,822
75,223346,223346,0
76,223346,223346,0
77,223346,5790,794
78,223346,5790,794
79,225728,250,814
80,228170,250,814
81,228170,250,814
82,228170,250,814
83,228170,250,814
84,228170,250,814
85,229798,250,814
86,228984,250,814
87,228170,250,814
88,227356,250,814
89,227356,250,814
90,228984,250,814
91,229798,250,814
92,228984,250,814
93,229798,250,814
94,228984,250,814
95,225728,225728,0
96,225728,225728,0
97,225728,10364,786
98,225728,10364,786
99,224942,536,822
100,224120,264,823
101,225766,264,823
102,226589,264,823
103,224943,264,823
104,224120,264,823
105,225766,264,823
106,226589,264,823
107,225766,264,823
108,224943,264,823
109,225766,264,823
110,226589,264,823
111,228235,264,823
112,229058,264,823
113,228235,264,823
114,228235,228235,0
115,228235,10955,776
116,229011,10955,776
117,229011,10955,776
118,229787,10955,776
119,229011,10955,776
120,228235,595,813
121,227422,595,813
122,226609,226609,0
123,226609,5641,792
124,227401,601,810
125,228211,601,810
126,229831,601,810
127,229021,601,810
128,230641,601,810
129,230641,317,811
130,229830,229830,0
131,229830,4845,795
132,228240,4845,795
133,228240,349,811
134,229862,349,811
135,227429,227429,0
136,227429,227429,0
137,227429,227429,0
138,227429,5829,800
139,229829,229,820
140,229829,229,820
141,228189,229,820
142,227369,227369,0
143,227369,227369,0
144,227369,227369,0
145,227369,227369,0
146,227369,227369,0
147,227369,227369,0
148,227369,227369,0
149,227369,227369,0
150,227369,4135,803
151,225763,4135,803
152,224960,4135,803
153,224960,4135,803
154,225763,4135,803
155,225763,4135,803
156,227369,4135,803
157,227369,4135,803
158,226566,4135,803
159,227369,4135,803
160,226566,534,816
161,228198,534,816
162,228198,255,817
163,229015,255,817
164,228198,255,817
165,229015,255,817
166,228198,255,817
167,228198,228198,0
168,228198,228198,0
169,228198,228198,0
170,228198,228198,0
171,228198,2720,814
172,228198,228198,0
173,228198,228198,0
174,228198,228198,0
175,228198,228198,0
176,228198,6570,803
177,228198,6570,803
178,228198,228198,0
179,228198,9606,792
180,228198,498,825
181,229023,221,826
182,229023,221,826
183,229849,229849,0
184,229849,229849,0
185,229849,229849,0
186,229849,229849,0
187,229849,5009,803
