时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,114000,0
13,114000,114000,0
14,114000,114000,0
15,114000,114000,0
16,114000,114000,0
17,114000,4639,919
18,119514,4639,919
19,124109,4639,919
20,129623,4639,919
21,135137,95,951
22,140843,95,951
23,145598,145598,0
24,145598,145598,0
25,145598,145598,0
26,145598,145598,0
27,145598,145598,0
28,145598,145598,0
29,145598,145598,0
30,145598,145598,0
31,145598,145598,0
32,145598,145598,0
33,145598,145598,0
34,145598,145598,0
35,145598,145598,0
36,145598,145598,0
37,145598,145598,0
38,145598,758,680
39,147638,758,680
40,149678,149678,0
41,149678,149678,0
42,149678,149678,0
43,149678,5306,636
44,150950,268,658
45,154240,268,658
46,156872,30,659
47,157531,30,659
48,158849,30,659
49,160826,30,659
50,162144,30,659
51,162803,30,659
52,162803,30,659
53,162803,30,659
54,164121,30,659
55,165439,30,659
56,166098,30,659
57,168734,30,659
58,168734,30,659
59,168734,168734,0
60,168734,8880,622
61,168112,8880,622
62,167490,8880,622
63,168112,8880,622
64,168112,8880,622
65,168112,8880,622
66,168734,399,655
67,169389,141,656
68,171357,141,656
69,172669,141,656
70,173325,141,656
71,175293,141,656
72,175949,175949,0
73,175949,175949,0
74,175949,175949,0
75,175949,12807,602
76,175949,341,648
77,177893,67,649
78,177893,67,649
79,179840,67,649
80,181787,181787,0
81,181787,181787,0
82,181787,181787,0
83,181787,181787,0
84,181787,907,646
85,183079,907,646
86,182433,64,649
87,181784,64,649
88,181135,64,649
89,181135,64,649
90,182433,64,649
91,183082,64,649
92,182433,182433,0
93,182433,182433,0
94,182433,182433,0
95,182433,182433,0
96,182433,182433,0
97,182433,1593,660
98,182433,223,665
99,181768,223,665
100,181103,223,665
101,182433,223,665
102,183098,223,665
103,181768,223,665
104,181103,181103,0
105,181103,181103,0
106,181103,181103,0
107,181103,811,658
108,180445,265,660
109,181105,265,660
110,181765,265,660
111,183085,265,660
112,183745,265,660
113,183085,265,660
114,183085,265,660
115,185065,265,660
116,185725,265,660
117,185725,265,660
118,186385,265,660
119,185725,265,660
120,185065,265,660
121,184405,265,660
122,183745,265,660
123,184405,265,660
124,185065,265,660
125,185725,265,660
126,187045,265,660
127,186385,265,660
128,187705,265,660
129,187705,265,660
130,187045,265,660
131,187045,265,660
132,185725,265,660
133,185725,265,660
134,187045,265,660
135,185065,265,660
136,184405,265,660
137,183745,265,660
138,183085,265,660
139,185065,265,660
140,185065,265,660
141,183745,265,660
142,183085,265,660
143,184405,265,660
144,185065,265,660
145,184405,265,660
146,183745,183745,0
147,183745,183745,0
148,183745,5269,642
149,183103,283,660
150,183763,283,660
151,182443,283,660
152,181783,181783,0
153,181783,181783,0
154,181783,181783,0
155,181783,181783,0
156,181783,181783,0
157,181783,181783,0
158,181783,71,656
159,182439,71,656
160,181783,71,656
161,183095,71,656
162,183095,71,656
163,183751,71,656
164,183095,71,656
165,183751,71,656
166,183095,71,656
167,183095,71,656
168,183095,71,656
169,182439,71,656
170,181783,71,656
171,181783,71,656
172,181783,71,656
173,182439,71,656
174,181127,71,656
175,181127,71,656
176,181127,71,656
177,181127,71,656
178,181127,71,656
179,181127,71,656
180,181127,71,656
181,181783,71,656
182,181783,71,656
183,182439,71,656
184,183095,71,656
185,182439,71,656
186,182439,71,656
187,183751,71,656
188,184407,71,656
189,184407,71,656
190,184407,71,656
191,183095,71,656
