时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,131000,0
5,131000,131000,0
6,131000,131000,0
7,131000,131000,0
8,131000,131000,0
9,131000,131000,0
10,131000,131000,0
11,131000,131000,0
12,131000,131000,0
13,131000,131000,0
14,131000,131000,0
15,131000,131000,0
16,131000,131000,0
17,131000,131000,0
18,131000,131000,0
19,131000,131000,0
20,131000,131000,0
21,131000,131000,0
22,131000,131000,0
23,131000,12425,775
24,134875,12425,775
25,137975,599,848
26,141367,599,848
27,145607,86,851
28,149011,86,851
29,151564,151564,0
30,151564,868,828
31,154876,868,828
32,159016,104,832
33,163176,104,832
34,165672,165672,0
35,165672,165672,0
36,165672,9758,746
37,167164,474,790
38,168744,474,790
39,171114,42,792
40,173490,42,792
41,175866,175866,0
42,175866,175866,0
43,175866,175866,0
44,175866,13505,709
45,179411,401,765
46,182471,401,765
47,183236,401,765
48,184766,401,765
49,187061,401,765
50,188591,401,765
51,189356,401,765
52,189356,401,765
53,189356,154,766
54,190888,154,766
55,192420,154,766
56,193186,154,766
57,196250,154,766
58,196250,154,766
59,196250,154,766
60,197016,154,766
61,196250,154,766
62,195484,154,766
63,196250,154,766
64,196250,154,766
65,196250,154,766
66,197016,154,766
67,197782,154,766
68,200080,154,766
69,201612,154,766
70,202378,154,766
71,204676,154,766
72,205442,154,766
73,205442,205442,0
74,205442,2402,752
75,206194,206194,0
76,206194,206194,0
77,206194,206194,0
78,206194,5352,733
79,208393,5352,733
80,210592,210592,0
81,210592,3112,741
82,210592,32,752
83,210592,210592,0
84,210592,872,749
85,212090,308,751
86,211339,27,752
87,210587,27,752
88,209835,209835,0
89,209835,209835,0
90,209835,209835,0
91,209835,209835,0
92,209835,209835,0
93,209835,209835,0
94,209835,15383,692
95,207067,148,747
96,205573,148,747
97,204826,148,747
98,204826,148,747
99,204079,148,747
100,203332,148,747
101,204826,148,747
102,205573,148,747
103,204079,148,747
104,203332,148,747
105,204826,148,747
106,205573,148,747
107,204826,148,747
108,204079,148,747
109,204826,148,747
110,205573,148,747
111,207067,148,747
112,207814,148,747
113,207067,148,747
114,207067,148,747
115,209308,148,747
116,210055,148,747
117,210055,148,747
118,210802,148,747
119,210055,148,747
120,209308,148,747
121,208561,148,747
122,207814,148,747
123,208561,148,747
124,209308,148,747
125,210055,148,747
126,211549,148,747
127,210802,148,747
128,212296,148,747
129,212296,212296,0
130,212296,2310,742
131,212296,2310,742
132,210812,2310,742
133,210812,210812,0
134,210812,210812,0
135,210812,8932,721
136,210091,283,752
137,209339,283,752
138,208587,208587,0
139,208587,7267,719
140,208587,7267,719
141,207149,7267,719
142,206430,7267,719
143,207868,207868,0
144,207868,207868,0
145,207868,207868,0
146,207868,3816,734
147,206400,3816,734
