时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,119000,0
7,119000,119000,0
8,119000,119000,0
9,119000,119000,0
10,119000,119000,0
11,119000,119000,0
12,119000,119000,0
13,119000,119000,0
14,119000,119000,0
15,119000,119000,0
16,119000,1141,1043
17,125258,1141,1043
18,131516,141,1051
19,136771,141,1051
20,143077,141,1051
21,149383,141,1051
22,155689,155689,0
23,155689,155689,0
24,155689,155689,0
25,155689,155689,0
26,155689,155689,0
27,155689,5380,879
28,159205,159205,0
29,159205,159205,0
30,159205,159205,0
31,159205,3523,837
32,163390,3523,837
33,167575,191,854
34,170137,191,854
35,173553,191,854
36,178677,191,854
37,180385,191,854
38,182093,191,854
39,184655,191,854
40,187217,191,854
41,189779,189779,0
42,189779,14081,774
43,189779,1823,828
44,191435,220,835
45,195610,220,835
46,198950,220,835
47,199785,220,835
48,201455,220,835
49,203960,220,835
50,205630,220,835
51,206465,220,835
52,206465,220,835
53,206465,220,835
54,208135,220,835
55,209805,209805,0
56,209805,209805,0
57,209805,209805,0
58,209805,209805,0
59,209805,4237,803
60,210608,125,819
61,209789,125,819
62,208970,125,819
63,209789,125,819
64,209789,125,819
65,209789,125,819
66,210608,125,819
67,211427,211427,0
68,211427,15938,749
69,212925,15938,749
70,213674,15938,749
71,215921,15938,749
72,216670,930,805
73,216670,930,805
74,218280,930,805
75,219085,117,808
76,219085,219085,0
77,219085,219085,0
78,219085,219085,0
79,219085,219085,0
80,219085,11885,740
81,219085,685,780
82,219085,685,780
83,219085,685,780
84,219085,685,780
85,220645,685,780
86,219865,685,780
87,219085,685,780
88,218305,127,782
89,218305,218305,0
90,218305,218305,0
91,218305,218305,0
92,218305,14018,727
93,219032,14018,727
94,218305,249,776
95,215201,249,776
96,213649,249,776
97,212873,249,776
98,212873,249,776
99,212097,249,776
100,211321,249,776
101,212873,249,776
102,213649,249,776
103,212097,212097,0
104,212097,212097,0
105,212097,1665,768
106,212865,1665,768
107,212097,1665,768
108,211329,1665,768
109,212097,1665,768
110,212865,290,773
111,214411,290,773
112,215184,290,773
113,214411,290,773
114,214411,290,773
115,216730,216730,0
116,216730,216730,0
117,216730,216730,0
118,216730,6076,747
119,215983,6076,747
120,215236,6076,747
121,214489,496,767
122,213722,213722,0
123,213722,213722,0
124,213722,14922,710
125,214432,591,761
126,215954,215954,0
127,215954,215954,0
128,215954,3238,749
129,215954,3238,749
130,215205,125,760
131,215205,125,760
132,213685,125,760
133,213685,125,760
134,215205,125,760
135,212925,212925,0
136,212925,10929,724
137,212201,10929,724
138,211477,10929,724
139,213649,289,762
140,213649,289,762
141,212125,289,762
142,211363,289,762
143,212887,289,762
144,213649,289,762
145,212887,289,762
146,212125,289,762
