时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,3850,4846
4,154076,3850,4846
5,187998,3850,4846
6,221920,3850,4846
7,250996,250996,0
8,250996,250996,0
9,250996,30581,3391
10,281515,281515,0
11,281515,281515,0
12,281515,281515,0
13,281515,281515,0
14,281515,281515,0
15,281515,281515,0
16,281515,281515,0
17,281515,281515,0
18,281515,281515,0
19,281515,37635,1876
20,292771,37635,1876
21,304027,304027,0
22,304027,304027,0
23,304027,304027,0
24,304027,28001,1747
25,311015,28001,1747
26,318003,28001,1747
27,326738,1838,1900
28,334338,263,1909
29,340065,85,1910
30,347705,347705,0
31,347705,347705,0
32,347705,347705,0
33,347705,347705,0
34,347705,347705,0
35,347705,347705,0
36,347705,347705,0
37,347705,347705,0
38,347705,347705,0
39,347705,347705,0
40,347705,347705,0
41,347705,347705,0
42,347705,347705,0
43,347705,347705,0
44,347705,347705,0
45,347705,347705,0
46,347705,5937,1436
47,349141,5937,1436
48,352013,153,1460
49,356393,356393,0
50,356393,13961,1392
51,357785,357785,0
52,357785,16678,1381
53,357785,16678,1381
54,360547,1240,1443
55,363433,1240,1443
56,364876,232,1447
57,370664,370664,0
58,370664,370664,0
59,370664,18152,1377
60,372041,372041,0
61,372041,372041,0
62,372041,5861,1436
63,373477,485,1457
64,373477,485,1457
65,373477,229,1458
66,374935,229,1458
67,376393,229,1458
68,380767,229,1458
69,383683,229,1458
70,385141,229,1458
71,389515,229,1458
72,390973,229,1458
73,390973,229,1458
74,393889,229,1458
75,395347,229,1458
76,395347,229,1458
77,399721,229,1458
78,399721,399721,0
79,399721,399721,0
80,399721,399721,0
81,399721,399721,0
82,399721,399721,0
83,399721,399721,0
84,399721,399721,0
85,399721,399721,0
86,399721,15313,1368
87,398353,2153,1415
88,396938,2153,1415
89,396938,200,1422
90,399782,399782,0
91,399782,399782,0
92,399782,22961,1341
93,401123,683,1420
94,399703,683,1420
95,394023,129,1422
96,391179,129,1422
97,389757,129,1422
98,389757,389757,0
99,389757,17931,1362
100,388395,17931,1362
101,391119,1491,1422
102,392541,392541,0
103,392541,23172,1353
104,391188,324,1437
105,394062,50,1438
106,395500,50,1438
107,394062,50,1438
108,392624,50,1438
109,394062,50,1438
110,395500,50,1438
111,398376,50,1438
112,399814,50,1438
113,398376,50,1438
114,398376,398376,0
115,398376,398376,0
116,398376,29142,1314
117,398376,1323,1413
118,399789,195,1417
119,398372,195,1417
120,396955,195,1417
121,395538,195,1417
122,394121,195,1417
123,395538,195,1417
124,396955,195,1417
125,398372,195,1417
126,401206,195,1417
127,399789,195,1417
128,402623,195,1417
129,402623,195,1417
130,401206,195,1417
131,401206,195,1417
132,398372,195,1417
133,398372,195,1417
134,401206,195,1417
135,396955,195,1417
136,395538,195,1417
