时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,17407,5347
3,151082,17407,5347
4,183164,183164,0
5,183164,183164,0
6,183164,183164,0
7,183164,183164,0
8,183164,183164,0
9,183164,183164,0
10,183164,2456,2442
11,197816,2456,2442
12,212468,220,2468
13,229744,34,2470
14,249504,34,2470
15,264324,34,2470
16,279144,34,2470
17,293964,34,2470
18,308784,34,2470
19,321134,34,2470
20,335954,335954,0
21,335954,124,2365
22,350144,124,2365
23,361969,124,2365
24,373794,124,2365
25,383254,383254,0
26,383254,383254,0
27,383254,383254,0
28,383254,33954,1996
29,389242,2804,2171
30,397926,2804,2171
31,406610,2804,2171
32,417465,130,2185
33,428390,130,2185
34,434945,130,2185
35,443685,443685,0
36,443685,443685,0
37,443685,10291,2054
38,447793,493,2100
39,454093,493,2100
40,460393,460393,0
41,460393,460393,0
42,460393,460393,0
43,460393,460393,0
44,460393,50254,1791
45,469348,50254,1791
46,476512,50254,1791
47,478303,478303,0
48,478303,478303,0
49,478303,478303,0
50,478303,478303,0
51,478303,32715,1804
52,478303,605,1934
53,478303,605,1934
54,482171,605,1934
55,486039,103,1936
56,487975,103,1936
57,495719,103,1936
58,495719,103,1936
59,495719,495719,0
60,495719,7676,1899
61,493820,493820,0
62,493820,493820,0
63,493820,20476,1849
64,493820,20476,1849
65,493820,764,1926
66,495746,764,1926
67,497672,764,1926
68,503450,242,1928
69,507306,242,1928
70,509234,242,1928
71,515018,242,1928
72,516946,242,1928
73,516946,242,1928
74,520802,242,1928
75,522730,242,1928
76,522730,242,1928
77,528514,242,1928
78,528514,242,1928
79,534298,242,1928
80,540082,242,1928
81,540082,242,1928
82,540082,242,1928
83,540082,540082,0
84,540082,540082,0
85,540082,540082,0
86,540082,540082,0
87,540082,540082,0
88,540082,24211,1849
89,540082,24211,1849
90,543780,2574,1926
91,545706,2574,1926
92,543780,2574,1926
93,545706,2574,1926
94,543780,2574,1926
95,536076,81,1935
96,532206,81,1935
97,530271,81,1935
98,530271,81,1935
99,528336,81,1935
100,526401,81,1935
101,530271,81,1935
102,532206,81,1935
103,528336,81,1935
104,526401,526401,0
105,526401,526401,0
106,526401,34151,1790
107,524611,34151,1790
108,522821,2756,1905
109,524726,290,1914
110,526640,15,1915
111,530470,15,1915
112,532385,15,1915
113,530470,15,1915
114,530470,15,1915
115,536215,15,1915
116,538130,15,1915
117,538130,538130,0
118,538130,538130,0
119,538130,538130,0
120,538130,538130,0
121,538130,538130,0
122,538130,538130,0
123,538130,538130,0
124,538130,538130,0
125,538130,538130,0
126,538130,29013,1799
127,536331,1095,1898
128,540127,1095,1898
129,540127,1095,1898
130,538229,246,1901
131,538229,246,1901
132,534427,246,1901
133,534427,246,1901
134,538229,538229,0
135,538229,538229,0
136,538229,538229,0
