时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,138000,0
6,138000,138000,0
7,138000,138000,0
8,138000,138000,0
9,138000,138000,0
10,138000,1840,1840
11,149040,1840,1840
12,160080,1840,1840
13,172960,1840,1840
14,187680,123,1857
15,198822,16,1858
16,209970,209970,0
17,209970,5171,1721
18,220296,220296,0
19,220296,220296,0
20,220296,220296,0
21,220296,220296,0
22,220296,220296,0
23,220296,220296,0
24,220296,220296,0
25,220296,16500,1258
26,225328,16500,1258
27,231618,16500,1258
28,236650,236650,0
29,236650,236650,0
30,236650,8786,1252
31,241658,602,1296
32,248138,602,1296
33,254618,254618,0
34,254618,13430,1212
35,259466,438,1276
36,267122,20,1278
37,269678,20,1278
38,272234,20,1278
39,276068,276068,0
40,276068,276068,0
41,276068,276068,0
42,276068,11840,1164
43,276068,1852,1208
44,278484,249,1215
45,284559,284559,0
46,284559,12763,1142
47,285701,12763,1142
48,287985,1195,1190
49,291555,1195,1190
50,293935,1195,1190
51,295125,207,1194
52,295125,207,1194
53,295125,207,1194
54,297513,297513,0
55,297513,20158,1105
56,298618,20158,1105
57,303038,20158,1105
58,303038,20158,1105
59,303038,1982,1176
60,304214,183,1183
61,303031,303031,0
62,303031,303031,0
63,303031,10423,1143
64,303031,10423,1143
65,303031,10423,1143
66,304174,10423,1143
67,305317,10423,1143
68,308746,505,1181
69,311108,242,1182
70,312290,242,1182
71,315836,242,1182
72,317018,242,1182
73,317018,242,1182
74,319382,242,1182
75,320564,320564,0
76,320564,320564,0
77,320564,320564,0
78,320564,320564,0
79,320564,320564,0
80,320564,3604,1132
81,320564,244,1144
82,320564,244,1144
83,320564,244,1144
84,320564,244,1144
85,322852,244,1144
86,321708,244,1144
87,320564,244,1144
88,319420,244,1144
89,319420,319420,0
90,319420,3576,1124
91,320544,192,1136
92,319408,192,1136
93,320544,192,1136
94,319408,192,1136
95,314864,314864,0
96,314864,314864,0
97,314864,4696,1132
98,314864,4696,1132
99,313732,328,1148
100,312584,328,1148
101,314880,328,1148
102,316028,328,1148
103,313732,328,1148
104,312584,56,1149
105,314882,56,1149
106,316031,56,1149
107,314882,314882,0
108,314882,314882,0
109,314882,314882,0
110,314882,314882,0
111,314882,314882,0
112,314882,6858,1108
113,313774,487,1131
114,313774,487,1131
115,317167,487,1131
116,318298,487,1131
117,318298,206,1132
118,319430,206,1132
119,318298,206,1132
120,317166,206,1132
121,316034,206,1132
122,314902,206,1132
123,316034,206,1132
124,317166,206,1132
125,318298,206,1132
126,320562,206,1132
127,319430,206,1132
128,321694,206,1132
129,321694,206,1132
130,320562,206,1132
131,320562,206,1132
132,318298,206,1132
133,318298,206,1132
134,320562,206,1132
135,317166,206,1132
136,316034,206,1132
