时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,125000,0
4,125000,125000,0
5,125000,3210,3205
6,147435,3210,3205
7,166665,166665,0
8,166665,166665,0
9,166665,166665,0
10,166665,6529,2164
11,179649,179649,0
12,179649,18743,1871
13,192746,192746,0
14,192746,192746,0
15,192746,192746,0
16,192746,192746,0
17,192746,192746,0
18,192746,14371,1427
19,199881,14371,1427
20,208443,227,1531
21,217629,227,1531
22,226815,226815,0
23,226815,226815,0
24,226815,226815,0
25,226815,226815,0
26,226815,226815,0
27,226815,226815,0
28,226815,7540,1253
29,230574,230574,0
30,230574,230574,0
31,230574,230574,0
32,230574,230574,0
33,230574,230574,0
34,230574,1326,1152
35,235182,1326,1152
36,242094,1326,1152
37,244398,271,1157
38,246712,58,1158
39,250186,58,1158
40,253660,58,1158
41,257134,58,1158
42,262924,58,1158
43,262924,58,1158
44,265240,58,1158
45,271030,58,1158
46,275662,58,1158
47,276820,58,1158
48,279136,58,1158
49,282610,58,1158
50,284926,58,1158
51,286084,58,1158
52,286084,58,1158
53,286084,58,1158
54,288400,58,1158
55,290716,58,1158
56,291874,58,1158
57,296506,58,1158
58,296506,58,1158
59,296506,58,1158
60,297664,58,1158
61,296506,58,1158
62,295348,58,1158
63,296506,58,1158
64,296506,58,1158
65,296506,58,1158
66,297664,58,1158
67,298822,58,1158
68,302296,58,1158
69,304612,58,1158
70,305770,305770,0
71,305770,305770,0
72,305770,305770,0
73,305770,305770,0
74,305770,305770,0
75,305770,5773,1107
76,305770,624,1126
77,309148,350,1127
78,309148,350,1127
79,312529,350,1127
80,315910,350,1127
81,315910,70,1128
82,315910,315910,0
83,315910,315910,0
84,315910,315910,0
85,315910,315910,0
86,315910,315910,0
87,315910,315910,0
88,315910,26029,1039
89,315910,26029,1039
90,317988,2425,1123
91,319111,451,1130
92,317981,451,1130
93,319111,451,1130
94,317981,317981,0
95,317981,317981,0
96,317981,317981,0
97,317981,317981,0
98,317981,14663,1107
99,316874,14663,1107
100,315767,247,1160
101,318087,318087,0
102,318087,318087,0
103,318087,42,1165
104,316922,42,1165
105,319252,42,1165
106,320417,42,1165
107,319252,42,1165
108,318087,42,1165
109,319252,319252,0
110,319252,6852,1136
111,321524,6852,1136
112,322660,6852,1136
113,321524,6852,1136
114,321524,6852,1136
115,324932,6852,1136
116,326068,6852,1136
117,326068,670,1158
118,327226,670,1158
119,326068,108,1160
120,324908,108,1160
121,323748,108,1160
122,322588,108,1160
123,323748,108,1160
124,324908,324908,0
125,324908,324908,0
126,324908,324908,0
127,324908,324908,0
128,324908,324908,0
129,324908,324908,0
130,324908,324908,0
131,324908,1156,1144
132,322620,1156,1144
133,322620,313,1147
134,324914,313,1147
135,321473,313,1147
136,320326,313,1147
137,319179,35,1148
