时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,2568,3564
6,162948,162948,0
7,162948,162948,0
8,162948,5359,2671
9,178974,5359,2671
10,203013,5359,2671
11,219039,159,2736
12,235455,159,2736
13,254607,159,2736
14,276495,276495,0
15,276495,276495,0
16,276495,276495,0
17,276495,9102,2247
18,289977,352,2317
19,301562,352,2317
20,315464,352,2317
21,329366,352,2317
22,343268,352,2317
23,354853,46,2319
24,366448,46,2319
25,375724,46,2319
26,385000,385000,0
27,385000,385000,0
28,385000,341600,248
29,385744,341600,248
30,386736,1988,2114
31,395192,1988,2114
32,405762,405762,0
33,405762,405762,0
34,405762,11941,1979
35,413678,11941,1979
36,425552,11941,1979
37,429510,11941,1979
38,433468,433468,0
39,433468,433468,0
40,433468,433468,0
41,433468,32536,1806
42,442498,442498,0
43,442498,442498,0
44,442498,35565,1777
45,451383,1635,1922
46,459071,1635,1922
47,460993,201,1928
48,464849,201,1928
49,470633,201,1928
50,474489,201,1928
51,476417,476417,0
52,476417,476417,0
53,476417,45402,1745
54,479907,6309,1902
55,483711,483711,0
56,483711,483711,0
57,483711,483711,0
58,483711,483711,0
59,483711,483711,0
60,483711,483711,0
61,483711,483711,0
62,483711,483711,0
63,483711,483711,0
64,483711,16511,1825
65,483711,16511,1825
66,485536,320,1888
67,487424,62,1889
68,493091,62,1889
69,496869,62,1889
70,498758,62,1889
71,504425,62,1889
72,506314,506314,0
73,506314,506314,0
74,506314,506314,0
75,506314,506314,0
76,506314,9300,1834
77,511816,511816,0
78,511816,511816,0
79,511816,511816,0
80,511816,40576,1683
81,511816,536,1826
82,511816,256,1827
83,511816,511816,0
84,511816,511816,0
85,511816,511816,0
86,511816,14446,1770
87,510046,166,1821
88,508225,166,1821
89,508225,166,1821
90,511867,166,1821
91,513688,166,1821
92,511867,166,1821
93,513688,513688,0
94,513688,16037,1771
95,506604,1079,1825
96,502954,1079,1825
97,501129,1079,1825
98,501129,501129,0
99,501129,14370,1783
100,499346,499346,0
101,499346,499346,0
102,499346,499346,0
103,499346,499346,0
104,499346,16002,1777
105,502900,932,1832
106,504732,932,1832
107,502900,932,1832
108,501068,113,1835
109,502903,113,1835
110,504738,113,1835
111,508408,113,1835
112,510243,113,1835
113,508408,113,1835
114,508408,113,1835
115,513913,113,1835
116,515748,113,1835
117,515748,113,1835
118,517583,113,1835
119,515748,113,1835
120,513913,113,1835
121,512078,512078,0
122,512078,512078,0
123,512078,19643,1765
124,513843,323,1834
125,515677,323,1834
126,519345,323,1834
127,517511,323,1834
128,521179,323,1834
129,521179,39,1835
130,519344,39,1835
131,519344,519344,0
132,519344,519344,0
133,519344,45578,1686
134,522716,5109,1829
135,517229,5109,1829
136,515400,5109,1829
