时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,119000,0
3,119000,119000,0
4,119000,119000,0
5,119000,119000,0
6,119000,119000,0
7,119000,119000,0
8,119000,119000,0
9,119000,119000,0
10,119000,119000,0
11,119000,119000,0
12,119000,16660,1190
13,127330,16660,1190
14,136850,16660,1190
15,143990,16660,1190
16,151130,16660,1190
17,158270,16660,1190
18,165410,16660,1190
19,171360,171360,0
20,171360,171360,0
21,171360,171360,0
22,171360,171360,0
23,171360,9639,1057
24,176645,176645,0
25,176645,176645,0
26,176645,11143,997
27,181630,11143,997
28,185618,643,1057
29,188789,109,1060
30,193029,109,1060
31,197269,109,1060
32,202569,109,1060
33,207869,109,1060
34,211049,109,1060
35,215289,109,1060
36,221649,109,1060
37,223769,109,1060
38,225889,109,1060
39,229069,109,1060
40,232249,109,1060
41,235429,109,1060
42,240729,109,1060
43,240729,109,1060
44,242849,109,1060
45,248149,109,1060
46,252389,109,1060
47,253449,109,1060
48,255569,109,1060
49,258749,109,1060
50,260869,109,1060
51,261929,109,1060
52,261929,109,1060
53,261929,109,1060
54,264049,109,1060
55,266169,109,1060
56,267229,267229,0
57,267229,2269,1035
58,267229,267229,0
59,267229,267229,0
60,267229,267229,0
61,267229,25565,944
62,266285,320,1043
63,267328,64,1044
64,267328,64,1044
65,267328,64,1044
66,268372,268372,0
67,268372,268372,0
68,268372,268372,0
69,268372,268372,0
70,268372,268372,0
71,268372,268372,0
72,268372,268372,0
73,268372,104,1001
74,270374,104,1001
75,271375,104,1001
76,271375,104,1001
77,274378,104,1001
78,274378,104,1001
79,277381,104,1001
80,280384,104,1001
81,280384,104,1001
82,280384,104,1001
83,280384,280384,0
84,280384,7104,976
85,282336,900,998
86,281338,57,1001
87,280337,57,1001
88,279336,57,1001
89,279336,57,1001
90,281338,57,1001
91,282339,57,1001
92,281338,281338,0
93,281338,24718,910
94,280428,1395,993
95,276456,1395,993
96,274470,1395,993
97,273477,25,998
98,273477,25,998
99,272479,25,998
100,271481,25,998
101,273477,273477,0
102,273477,3152,983
103,271511,3152,983
104,270528,3152,983
105,272494,272494,0
106,272494,1069,987
107,271507,1069,987
108,270520,250,990
109,271510,250,990
110,272500,250,990
111,274480,250,990
112,275470,250,990
113,274480,250,990
114,274480,250,990
115,277450,250,990
116,278440,250,990
117,278440,250,990
118,279430,250,990
119,278440,250,990
120,277450,250,990
121,276460,276460,0
122,276460,276460,0
123,276460,276460,0
124,276460,276460,0
125,276460,9510,950
126,278360,454,982
127,277378,277378,0
128,277378,277378,0
129,277378,277378,0
130,277378,277378,0
131,277378,277378,0
132,277378,1155,983
133,277378,1155,983
134,279344,1155,983
135,276395,1155,983
136,275412,318,986
137,274426,318,986
138,273440,318,986
139,276398,318,986
140,276398,318,986
141,274426,40,987
