时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,131000,0
5,131000,131000,0
6,131000,131000,0
7,131000,131000,0
8,131000,131000,0
9,131000,131000,0
10,131000,131000,0
11,131000,17160,1423
12,139538,820,1613
13,150829,150829,0
14,150829,1551,1478
15,159697,159697,0
16,159697,4209,1376
17,167953,4209,1376
18,176209,176209,0
19,176209,176209,0
20,176209,176209,0
21,176209,176209,0
22,176209,176209,0
23,176209,1177,1144
24,181929,1177,1144
25,186505,1177,1144
26,191081,1177,1144
27,196801,151,1150
28,201401,151,1150
29,204851,151,1150
30,209451,151,1150
31,214051,151,1150
32,219801,151,1150
33,225551,151,1150
34,229001,151,1150
35,233601,151,1150
36,240501,151,1150
37,242801,151,1150
38,245101,151,1150
39,248551,248551,0
40,248551,7870,1099
41,251848,7870,1099
42,257343,7870,1099
43,257343,606,1131
44,259605,148,1133
45,265270,148,1133
46,269802,148,1133
47,270935,148,1133
48,273201,148,1133
49,276600,148,1133
50,278866,148,1133
51,279999,148,1133
52,279999,148,1133
53,279999,148,1133
54,282265,282265,0
55,282265,282265,0
56,282265,18925,1045
57,286445,1005,1115
58,286445,1005,1115
59,286445,237,1118
60,287563,237,1118
61,286445,237,1118
62,285327,285327,0
63,285327,285327,0
64,285327,12943,1064
65,285327,12943,1064
66,286391,864,1111
67,287502,287502,0
68,287502,287502,0
69,287502,287502,0
70,287502,17430,1023
71,290571,17430,1023
72,291594,17430,1023
73,291594,291594,0
74,291594,291594,0
75,291594,17342,1012
76,291594,269,1075
77,294819,269,1075
78,294819,269,1075
79,298044,269,1075
80,301269,269,1075
81,301269,269,1075
82,301269,301269,0
83,301269,1109,1072
84,301269,269,1075
85,303419,269,1075
86,302344,269,1075
87,301269,269,1075
88,300194,269,1075
89,300194,269,1075
90,302344,269,1075
91,303419,269,1075
92,302344,269,1075
93,303419,303419,0
94,303419,11460,1039
95,299263,11460,1039
96,297185,11460,1039
97,296146,11460,1039
98,296146,1048,1077
99,295069,229,1080
100,293989,229,1080
101,296149,229,1080
102,297229,297229,0
103,297229,297229,0
104,297229,297229,0
105,297229,297229,0
106,297229,6554,1057
107,296172,6554,1057
108,295115,275,1080
109,296195,275,1080
110,297275,275,1080
111,299435,275,1080
112,300515,275,1080
113,299435,275,1080
114,299435,299435,0
115,299435,26435,975
116,300410,300410,0
117,300410,300410,0
118,300410,300410,0
119,300410,300410,0
120,300410,12570,1028
121,299382,573,1071
122,298311,573,1071
123,299382,294,1072
124,300454,294,1072
125,301526,13,1073
126,303672,13,1073
127,302599,13,1073
128,304745,13,1073
129,304745,13,1073
130,303672,13,1073
131,303672,13,1073
132,301526,13,1073
133,301526,13,1073
134,303672,13,1073
135,300453,300453,0
136,300453,24801,988
