时间,市值,资金,持仓
0,109000,100000,1000
1,114000,114000,0
2,114000,114000,0
3,114000,114000,0
4,114000,114000,0
5,114000,114000,0
6,114000,114000,0
7,114000,114000,0
8,114000,114000,0
9,114000,114000,0
10,114000,114000,0
11,114000,114000,0
12,114000,2630,1295
13,123065,123065,0
14,123065,123065,0
15,123065,123065,0
16,123065,123065,0
17,123065,123065,0
18,123065,123065,0
19,123065,123065,0
20,123065,123065,0
21,123065,123065,0
22,123065,123065,0
23,123065,123065,0
24,123065,123065,0
25,123065,123065,0
26,123065,123065,0
27,123065,123065,0
28,123065,123065,0
29,123065,123065,0
30,123065,2035,665
31,125725,2035,665
32,129050,316,674
33,132420,120,675
34,134445,120,675
35,137145,120,675
36,141195,120,675
37,142545,120,675
38,143895,120,675
39,145920,120,675
40,147945,120,675
41,149970,120,675
42,153345,120,675
43,153345,120,675
44,154695,120,675
45,158070,120,675
46,160770,120,675
47,161445,120,675
48,162795,120,675
49,164820,120,675
50,166170,120,675
51,166845,120,675
52,166845,120,675
53,166845,120,675
54,168195,120,675
55,169545,120,675
56,170220,120,675
57,172920,120,675
58,172920,120,675
59,172920,120,675
60,173595,120,675
61,172920,120,675
62,172245,120,675
63,172920,120,675
64,172920,120,675
65,172920,120,675
66,173595,120,675
67,174270,120,675
68,176295,120,675
69,177645,120,675
70,178320,120,675
71,180345,120,675
72,181020,120,675
73,181020,120,675
74,182370,120,675
75,183045,120,675
76,183045,183045,0
77,183045,3301,656
78,183045,287,667
79,185046,287,667
80,187047,287,667
81,187047,7,668
82,187047,7,668
83,187047,7,668
84,187047,7,668
85,188383,7,668
86,187715,7,668
87,187047,7,668
88,186379,7,668
89,186379,186379,0
90,186379,186379,0
91,186379,186379,0
92,186379,186379,0
93,186379,4771,644
94,185735,4771,644
95,183159,4771,644
96,181871,181871,0
97,181871,26239,568
98,181871,26239,568
99,181303,1942,657
100,180646,1942,657
101,181960,1942,657
102,182617,182617,0
103,182617,182617,0
104,182617,4185,656
105,183929,4185,656
106,184585,610,669
107,183916,610,669
108,183247,64,671
109,183918,64,671
110,184589,64,671
111,185931,64,671
112,186602,64,671
113,185931,64,671
114,185931,64,671
115,187944,64,671
116,188615,64,671
117,188615,64,671
118,189286,189286,0
119,189286,12256,630
120,188656,776,671
121,187985,776,671
122,187314,776,671
123,187985,776,671
124,188656,776,671
125,189327,776,671
126,190669,210,673
127,189996,189996,0
128,189996,189996,0
129,189996,189996,0
130,189996,189996,0
131,189996,8593,641
132,188714,1006,668
133,188714,188714,0
134,188714,10707,629
135,186827,10707,629
136,186198,10707,629
137,185569,699,665
138,184904,699,665
139,186899,699,665
140,186899,186899,0
141,186899,83,672
142,186227,186227,0
143,186227,186227,0
144,186227,186227,0
145,186227,186227,0
146,186227,186227,0
147,186227,186227,0
148,186227,186227,0
149,186227,1468,667
150,186894,1468,667
151,185560,1468,667
152,184893,93,672
153,184893,93,672
154,185565,93,672
155,185565,93,672
156,186909,93,672
157,186909,93,672
158,186237,186237,0
159,186237,3313,658
160,185579,543,668
161,186915,543,668
162,186915,543,668
163,187583,263,669
164,186914,263,669
165,187583,263,669
166,186914,263,669
167,186914,263,669
168,186914,186914,0
169,186914,186914,0
170,186914,6033,653
171,186914,186914,0
172,186914,186914,0
173,186914,15666,616
174,185682,185682,0
175,185682,6006,651
176,185682,210,672
177,185682,210,672
178,185682,210,672
179,185682,210,672
180,185682,210,672
181,186354,210,672
182,186354,210,672
183,187026,210,672
184,187698,210,672
185,187026,210,672
186,187026,210,672
187,188370,210,672
188,189042,210,672
189,189042,210,672
190,189042,210,672
