时间,市值,资金,持仓
0,109000,100000,1000
1,114000,100000,1000
2,119000,100000,1000
3,125000,100000,1000
4,131000,100000,1000
5,138000,100000,1000
6,145000,100000,1000
7,151000,100000,1000
8,159000,100000,1000
9,165000,100000,1000
10,174000,100000,1000
11,180000,100000,1000
12,186000,1186,2149
13,201043,70,2161
14,218331,70,2161
15,231297,70,2161
16,244263,244263,0
17,244263,244263,0
18,244263,244263,0
19,244263,244263,0
20,244263,244263,0
21,244263,244263,0
22,244263,244263,0
23,244263,244263,0
24,244263,244263,0
25,244263,244263,0
26,244263,28629,1299
27,250758,28629,1299
28,255954,28629,1299
29,259851,259851,0
30,259851,259851,0
31,259851,259851,0
32,259851,259851,0
33,259851,17399,1237
34,263562,17399,1237
35,268510,17399,1237
36,275932,17399,1237
37,278406,941,1315
38,281036,89,1319
39,284993,284993,0
40,284993,284993,0
41,284993,11267,1233
42,291158,371,1281
43,291158,371,1281
44,293720,371,1281
45,300125,137,1282
46,305253,305253,0
47,305253,305253,0
48,305253,305253,0
49,305253,305253,0
50,305253,305253,0
51,305253,305253,0
52,305253,305253,0
53,305253,305253,0
54,305253,305253,0
55,305253,305253,0
56,305253,4869,1192
57,310021,4869,1192
58,310021,4869,1192
59,310021,4869,1192
60,311213,4869,1192
61,310021,261,1210
62,308811,308811,0
63,308811,22603,1118
64,308811,22603,1118
65,308811,587,1204
66,310015,587,1204
67,311219,587,1204
68,314831,587,1204
69,317239,587,1204
70,318443,587,1204
71,322055,587,1204
72,323259,319,1205
73,323259,319,1205
74,325669,319,1205
75,326874,48,1206
76,326874,48,1206
77,330492,48,1206
78,330492,48,1206
79,334110,48,1206
80,337728,48,1206
81,337728,48,1206
82,337728,48,1206
83,337728,48,1206
84,337728,48,1206
85,340140,48,1206
86,338934,338934,0
87,338934,43534,1055
88,337879,3079,1200
89,337879,289,1210
90,340299,289,1210
91,341509,289,1210
92,340299,289,1210
93,341509,289,1210
94,340299,8,1211
95,335455,8,1211
96,333033,8,1211
97,331822,8,1211
98,331822,8,1211
99,330611,8,1211
100,329400,8,1211
101,331822,8,1211
102,333033,8,1211
103,330611,8,1211
104,329400,329400,0
105,329400,19506,1131
106,330531,330531,0
107,330531,21459,1128
108,329403,21459,1128
109,330531,1457,1201
110,331732,1457,1201
111,334134,1457,1201
112,335335,1457,1201
113,334134,1457,1201
114,334134,1457,1201
115,337737,1457,1201
116,338938,52,1206
117,338938,338938,0
118,338938,338938,0
119,338938,338938,0
120,338938,17498,1148
121,337790,200,1210
122,336580,200,1210
123,337790,200,1210
124,339000,200,1210
125,340210,200,1210
126,342630,200,1210
127,341420,341420,0
128,341420,341420,0
129,341420,341420,0
130,341420,341420,0
131,341420,28988,1104
132,339212,28988,1104
133,339212,28988,1104
134,341420,28988,1104
135,338108,28988,1104
