时间,价格,数量
1868,283,121794
1869,281,133996
1870,284,144925
1871,283,119885
1872,280,142300
1873,279,138938
1874,280,126460
1875,282,135018
1876,282,148940
1877,284,123690
1878,282,147930
1879,284,137492
1880,282,128389
1881,282,125037
1882,279,116986
1883,281,128511
1884,282,131703
1885,281,122161
1886,282,116617
1887,282,112363
1888,285,129704
1889,282,126590
1890,283,131307
1891,283,121005
1892,281,131936
1893,283,141827
1894,281,129321
1895,283,120777
1896,280,127879
1897,282,131087
1898,281,129429
1899,282,124482
1900,283,124040
1901,285,134956
1902,286,116847
1903,285,126890
1904,284,126726
1905,285,121524
1906,287,119507
1907,290,128228
1908,287,124233
1909,289,118405
1910,290,146227
1911,290,130585
1912,290,116275
1913,289,123876
1914,287,122951
1915,287,108950
1916,284,124403
1917,285,121085
1918,284,125517
1919,284,132636
1920,282,130366
1921,281,136291
1922,280,125528
1923,282,115903
1924,283,119244
1925,283,135115
1926,281,135396
1927,281,142625
1928,281,120892
1929,280,130333
1930,281,130591
1931,280,122765
1932,277,127712
1933,277,119650
1934,279,121143
1935,281,119091
1936,281,124823
1937,280,127521
1938,281,125950
1939,283,124472
1940,281,128182
1941,280,121610
1942,280,134394
1943,278,142648
1944,278,123644
1945,279,126898
1946,279,138445
1947,280,123286
1948,281,122910
1949,279,131976
1950,279,115147
1951,281,129393
1952,283,108164
1953,285,128098
1954,284,131988
1955,286,125932
1956,284,123615
1957,284,132622
1958,283,109103
1959,285,109470
1960,287,127909
1961,286,127274
1962,285,130429
1963,283,116832
1964,283,130317
1965,283,118448
1966,286,105152
1967,284,142169
1968,286,136105
1969,286,135547
1970,286,113786
1971,286,126599
1972,285,125428
1973,284,134657
1974,284,128049
1975,283,125682
1976,287,108123
1977,286,132470
1978,286,133378
1979,285,117952
1980,287,133915
1981,288,128273
1982,287,125293
1983,288,133529
1984,287,113899
1985,287,128369
1986,289,125210
1987,289,123111
1988,286,133184
1989,288,127376
1990,288,127207
1991,289,131292
1992,289,123625
1993,288,118448
1994,289,118300
1995,289,149284
1996,288,137715
1997,288,129474
1998,289,128370
1999,289,107789
2000,291,137943
2001,290,119543
2002,288,115394
2003,289,129395
2004,286,122241
2005,287,112135
2006,283,135656
2007,283,120965
2008,279,136567
2009,280,126310
2010,281,116692
2011,279,130228
2012,280,126123
2013,282,110336
2014,282,123596
2015,282,122601
2016,280,133927
2017,280,128487
2018,279,126138
2019,276,126672
2020,278,119569
2021,275,121034
2022,275,118213
2023,275,126400
2024,275,128977
2025,277,121896
2026,277,127611
2027,277,119521
2028,279,128151
2029,279,121144
2030,281,124538
2031,280,106319
2032,280,121702
2033,278,138430
2034,280,117828
2035,279,125315
2036,281,131979
2037,281,130201
2038,279,132682
2039,279,125616
2040,277,124736
2041,278,128827
2042,277,119319
2043,274,115864
2044,275,129601
2045,274,135291
2046,276,112415
2047,277,128834
2048,276,136323
2049,275,116645
2050,275,129603
2051,274,128228
2052,274,122451
2053,276,121479
2054,279,141238
2055,277,129432
2056,279,136915
2057,278,144530
2058,277,124824
2059,276,126577
2060,278,131610
2061,277,140725
2062,277,132408
2063,276,117022
2064,275,132537
2065,275,137759
2066,275,123111
2067,274,134767
2068,274,134520
2069,274,127438
2070,276,122051
2071,279,113244
2072,277,151045
2073,279,131567
2074,279,118574
2075,280,120450
2076,281,120900
2077,283,128093
2078,284,113662
2079,283,142922
2080,282,121447
2081,281,138148
2082,282,119776
2083,284,114835
2084,284,134087
2085,282,125297
2086,283,123140
2087,283,141480
2088,282,110460
2089,276,125353
2090,276,148945
2091,277,126565
2092,279,141863
2093,280,129733
2094,282,126885
2095,282,105321
2096,282,123064
2097,281,122227
2098,283,122308
2099,281,121144
2100,283,119938
2101,282,126049
2102,281,116277
2103,282,112416
2104,280,113839
2105,282,114512
2106,284,121575
2107,286,120700
2108,285,115865
2109,284,122725
2110,285,124601
2111,283,125426
2112,282,118263
2113,281,130049
2114,281,132968
2115,282,137651
2116,282,140339
2117,283,127597
2118,282,126708
2119,284,114245
2120,284,125797
2121,284,131756
2122,285,137638
2123,285,140493
2124,283,135887
2125,284,97850
2126,284,121192
2127,284,133624
2128,285,122880
2129,284,143714
2130,284,130538
2131,284,131994
2132,286,133449
2133,286,120977
2134,285,126798
2135,284,126352
2136,286,135133
2137,284,116626
2138,284,117964
2139,283,127612
2140,283,119679
2141,284,124694
2142,284,117936
2143,280,127709
2144,280,121688
2145,279,117215
2146,277,146230
2147,278,112971
2148,279,140706
2149,278,114065
2150,280,119163
2151,281,112696
2152,282,128878
2153,281,140392
2154,281,135931
2155,281,133618
2156,281,127145
2157,282,123782
2158,281,133687
2159,280,128508
2160,283,126831
2161,282,118081
2162,282,138128
2163,278,118414
2164,278,108286
2165,279,135386
2166,280,116487
2167,278,112592
2168,277,122702
2169,277,135587
2170,278,118870
2171,277,148603
2172,277,123288
2173,280,124065
2174,279,113301
2175,280,135063
2176,282,118922
2177,281,129759
2178,279,148321
2179,280,109653
2180,282,131121
2181,281,130195
2182,282,137487
2183,283,116342
2184,286,131323
2185,284,137560
2186,286,117784
2187,285,123588
2188,285,125296
2189,282,136437
2190,283,132672
2191,282,131366
2192,283,133537
2193,285,123480
2194,286,110019
2195,284,128974
2196,283,118709
2197,284,118325
2198,285,132344
2199,286,126212
2200,287,112368
2201,286,129317
2202,284,120936
2203,284,125970
2204,285,124707
2205,284,118007
2206,283,116498
2207,286,113751
2208,290,114675
2209,291,128801
2210,290,121388
2211,287,128197
2212,288,132001
2213,289,129206
2214,288,130895
2215,289,133052
2216,287,119093
2217,286,134170
2218,284,127230
2219,284,134416
2220,285,135784
2221,286,118908
2222,288,125932
2223,290,122654
2224,290,123641
2225,290,112811
2226,289,118741
2227,290,120701
2228,289,119316
2229,289,126820
2230,289,117684
2231,288,132002
2232,287,124147
2233,288,106226
2234,286,126393
2235,287,123981
2236,287,133907
2237,286,123021
2238,286,114619
2239,286,141550
2240,284,128792
2241,285,130602
2242,287,128546
2243,285,121965
2244,285,142119
2245,286,137564
2246,287,114177
2247,288,125707
2248,290,121105
2249,291,110569
2250,293,131722
2251,294,128846
2252,294,135207
2253,297,122767
2254,295,121397
2255,294,139861
2256,292,122123
2257,293,136482
2258,293,126925
2259,293,130685
2260,295,122912
2261,296,125291
2262,294,133390
2263,291,113203
2264,290,126133
2265,288,118323
2266,287,142008
2267,290,113324
2268,290,118323
2269,290,127811
2270,293,124473
2271,292,114184
2272,293,122751
2273,295,125088
2274,294,140584
2275,291,126297
2276,290,126763
2277,291,114831
2278,292,129161
2279,289,124567
2280,289,118528
2281,289,121644
2282,287,128749
2283,284,110902
2284,283,120601
2285,285,132239
2286,285,129888
2287,284,126530
2288,282,113251
2289,282,141574
2290,280,131502
2291,282,133107
2292,281,116972
2293,282,125278
2294,283,136090
2295,284,122686
2296,284,116885
2297,286,130410
2298,288,111670
2299,287,124395
2300,284,132436
2301,283,128025
2302,283,122301
2303,285,116097
2304,287,135391
2305,288,131032
2306,288,127095
2307,286,133013
2308,286,118709
2309,286,112238
2310,286,131905
2311,287,114878
2312,286,124320
2313,284,127445
2314,284,105203
2315,285,129668
2316,283,131596
2317,282,129941
2318,282,126066
2319,280,141117
2320,280,125463
2321,281,136390
2322,283,128976
2323,282,140139
2324,282,121223
2325,281,141776
2326,282,132757
2327,281,131773
2328,283,128394
2329,283,122427
2330,283,123641
2331,283,123107
2332,283,126876
2333,283,122899
2334,283,126333
2335,283,126635
2336,284,120519
2337,281,146197
2338,281,122584
2339,279,126805
2340,277,120213
2341,277,128750
2342,277,119146
2343,279,126032
2344,279,124537
2345,278,123636
2346,278,143522
2347,278,131171
2348,277,137925
2349,276,119722
2350,276,124487
2351,278,129991
2352,278,127277
2353,279,118215
2354,279,115956
2355,281,130065
2356,281,120068
2357,281,140309
2358,281,119061
2359,281,129603
2360,282,120446
2361,284,136088
2362,283,134038
2363,282,129298
2364,283,120122
2365,282,138325
2366,281,131849
2367,282,117224
2368,280,109040
2369,283,130871
2370,285,125963
2371,284,121475
2372,285,110652
2373,283,115945
2374,283,132742
2375,283,111986
2376,284,125185
2377,286,115431
2378,286,112534
2379,285,122444
2380,286,128446
2381,284,137551
2382,285,134127
2383,285,134566
2384,284,132355
2385,281,108203
2386,282,122242
2387,283,117358
2388,282,107456
2389,279,112615
2390,278,125348
2391,280,113644
2392,280,124880
2393,279,141340
2394,278,135302
2395,279,120336
2396,281,112524
2397,280,139777
2398,281,130204
2399,281,135553
2400,283,117246
2401,281,127759
2402,281,137959
2403,281,129221
2404,280,128128
2405,281,130829
2406,281,135110
2407,282,126636
2408,281,123765
2409,282,127902
2410,281,132778
2411,283,122135
2412,284,127483
2413,286,131047
2414,287,118403
2415,287,105598
2416,286,126776
2417,288,124769
2418,289,104349
2419,288,130859
2420,286,124487
2421,286,105840
2422,287,113234
2423,284,119687
2424,284,123144
2425,286,116788
2426,286,118108
2427,286,126864
2428,286,112199
2429,285,113863
2430,284,133260
2431,282,133426
2432,284,123333
2433,286,109686
2434,287,128466
2435,284,119321
2436,285,135087
2437,284,139195
2438,284,155629
2439,284,111286
2440,284,139316
2441,283,121765
2442,283,121749
2443,283,132844
2444,281,123790
2445,283,112210
2446,283,117214
2447,281,135175
2448,279,148345
2449,279,139303
2450,279,134899
2451,280,122015
2452,277,132999
2453,280,110120
2454,281,119361
2455,282,125800
2456,283,126600
2457,285,136706
2458,285,108164
2459,287,127383
2460,291,115486
2461,291,135459
2462,292,117272
2463,293,110038
2464,292,142981
2465,292,126494
2466,293,127740
2467,292,117192
2468,293,133991
2469,292,124731
2470,294,138340
2471,294,122679
2472,293,122571
2473,293,121567
2474,292,115064
2475,294,118581
2476,294,122399
2477,292,137626
2478,291,137935
2479,294,121973
2480,295,112595
2481,294,122162
2482,295,123002
2483,293,140120
2484,295,129253
2485,297,129495
2486,294,120240
2487,293,124305
2488,293,133415
2489,293,127000
2490,293,122658
2491,293,136435
2492,292,118714
2493,292,116828
2494,294,110509
2495,295,126099
2496,297,114584
2497,298,121598
2498,300,113857
2499,301,124722
2500,300,132693
2501,298,126260
2502,298,123340
2503,296,122175
2504,293,125102
2505,294,119442
2506,295,132976
2507,297,106449
2508,299,124531
2509,302,116062
2510,302,117073
2511,300,126868
2512,298,128722
2513,297,125509
2514,297,126065
2515,300,115723
2516,299,122490
2517,299,133123
2518,298,112138
2519,299,126322
2520,297,118889
2521,297,118652
2522,297,129731
2523,297,134629
2524,299,124906
2525,295,139877
2526,296,120022
2527,295,129855
2528,295,123390
2529,293,117402
2530,292,115551
2531,293,134942
2532,293,121937
2533,293,123495
2534,293,110517
2535,292,113404
2536,289,118696
2537,292,142167
2538,292,117332
2539,295,109365
2540,294,129595
2541,295,117369
2542,294,126629
2543,291,140201
2544,290,132651
2545,288,135988
2546,289,128724
2547,288,134115
2548,290,142963
2549,291,120311
2550,290,118396
2551,290,131810
2552,288,128421
2553,288,126166
2554,288,134157
2555,287,112527
2556,286,125307
2557,285,132711
2558,287,125210
2559,286,115043
2560,284,128939
2561,285,116871
2562,285,117992
2563,285,122694
2564,287,125616
2565,284,128112
2566,282,127153
2567,284,125629
2568,286,122375
2569,286,123873
2570,286,114090
2571,284,121958
2572,280,131479
2573,280,110175
2574,280,123006
2575,280,122544
2576,281,119996
2577,282,134138
2578,284,135411
2579,283,134020
2580,282,130318
2581,284,130397
2582,284,128605
2583,283,125450
2584,285,134762
2585,287,128117
2586,287,121895
2587,288,140050
2588,291,122029
2589,289,123478
2590,289,140325
2591,289,128220
2592,289,135585
2593,288,119590
2594,287,130344
2595,287,155486
2596,287,124990
2597,287,117323
2598,287,114230
2599,288,121238
2600,288,124794
2601,290,128258
2602,289,122964
2603,289,126477
2604,288,123715
2605,287,126154
2606,288,108004
2607,289,123713
2608,285,113755
2609,286,118950
2610,288,120571
2611,286,114804
2612,286,135806
2613,287,113881
2614,290,117346
2615,290,129249
2616,289,133521
2617,290,118817
2618,290,132963
2619,291,111343
2620,293,131296
2621,294,114305
2622,295,111995
2623,293,143823
2624,297,110840
2625,297,131576
2626,296,118330
2627,300,107923
2628,300,116978
2629,300,117100
2630,296,124394
2631,298,123720
2632,297,129358
2633,297,135739
2634,297,126437
2635,298,119199
2636,296,134087
2637,297,120108
2638,297,128456
2639,296,117930
2640,298,121636
2641,296,132156
2642,297,109702
2643,298,127084
2644,297,122147
2645,300,119850
2646,300,125572
2647,298,129035
2648,301,126305
2649,302,117447
2650,300,121705
2651,300,126645
2652,300,112638
2653,302,134042
2654,302,127626
2655,303,125916
2656,304,120140
2657,302,115712
2658,301,115380
2659,300,135407
2660,299,114685
2661,297,139794
2662,296,120114
2663,294,125268
2664,295,125234
2665,295,131435
2666,294,138587
2667,294,112553
2668,290,148078
2669,291,135186
2670,291,98913
2671,287,115520
2672,286,118516
2673,285,138989
2674,284,130703
2675,286,124341
2676,286,128676
2677,287,138208
2678,286,127031
2679,283,117599
2680,284,130852
2681,283,129778
2682,283,122111
2683,284,125606
2684,285,132291
2685,284,132851
2686,286,107652
2687,286,132566
2688,286,108874
2689,285,122945
2690,284,111063
2691,283,131526
2692,282,114030
2693,282,122125
2694,283,120353
2695,282,135792
2696,282,124483
2697,281,119398
2698,280,120382
2699,279,140849
2700,280,125876
2701,281,133130
2702,280,127825
2703,280,136778
2704,279,124779
2705,280,139273
2706,279,124939
2707,280,139248
2708,280,122049
2709,280,138889
2710,278,125677
2711,283,114734
2712,282,119892
2713,282,131094
2714,283,123726
2715,285,128273
2716,286,119813
2717,286,117172
2718,289,128627
2719,287,129708
2720,287,137810
2721,288,130017
2722,289,115690
2723,289,120698
2724,290,120477
2725,290,123510
2726,287,107814
2727,288,118069
2728,287,128861
2729,287,116447
2730,287,131716
2731,287,128561
2732,287,118813
2733,285,136143
2734,287,117313
2735,285,112529
2736,286,124010
2737,287,115364
2738,286,124765
2739,290,125376
2740,289,122066
2741,288,137813
2742,286,124506
2743,287,115179
2744,286,124972
2745,290,131591
2746,291,118462
2747,291,116427
2748,289,127484
2749,288,141579
2750,289,124723
2751,290,128831
2752,288,123274
2753,287,141000
2754,288,120868
2755,287,119541
2756,286,109597
2757,285,138460
2758,286,116602
2759,288,116945
2760,288,123684
2761,288,120822
2762,291,128622
2763,292,123673
2764,291,122273
2765,292,123105
2766,290,127680
2767,289,125652
2768,288,118435
2769,289,125504
2770,289,126992
2771,290,124248
2772,289,132359
2773,289,123908
2774,289,137061
2775,288,124601
2776,290,116575
2777,289,135733
2778,289,111875
2779,291,118094
2780,291,127671
2781,291,116047
2782,290,119911
2783,289,127318
2784,290,126238
2785,293,132169
2786,289,128938
2787,289,116326
2788,292,119785
2789,291,125485
2790,288,119893
2791,290,116328
2792,292,118950
2793,290,127512
2794,289,132937
2795,288,121290
2796,288,120288
2797,284,123479
2798,284,135109
2799,284,122666
2800,286,122749
2801,286,122190
2802,286,133644
2803,284,124994
2804,285,126313
2805,286,140891
2806,288,115247
2807,286,112581
2808,287,120649
2809,287,121564
2810,283,124924
2811,284,122136
2812,284,118026
2813,287,137784
2814,287,132244
2815,288,112822
2816,288,117833
2817,289,122497
2818,288,133217
2819,289,112774
2820,287,120798
2821,287,104402
2822,288,131371
2823,288,129715
2824,290,125451
2825,286,116942
2826,286,121041
2827,285,132287
2828,284,129081
2829,282,115032
2830,283,127659
2831,283,122957
2832,282,133939
2833,282,123918
2834,281,134056
2835,282,117165
2836,281,120039
2837,281,123480
2838,283,109403
2839,288,108682
2840,287,121161
2841,288,112857
2842,289,111721
2843,289,118923
2844,291,112026
2845,293,121951
2846,294,130319
2847,294,112463
2848,292,110464
2849,293,138929
2850,291,140081
2851,292,123595
2852,289,129615
2853,294,122069
2854,294,130476
2855,296,127914
2856,297,128607
2857,293,133136
2858,291,126576
2859,293,110845
2860,294,111138
2861,297,125833
2862,295,128489
2863,295,125978
2864,297,112233
2865,297,132249
2866,296,139025
2867,295,123684
2868,294,140283
2869,293,121030
2870,293,113801
2871,295,118098
2872,296,116391
2873,295,134229
2874,296,112682
2875,296,132764
2876,295,125085
2877,295,129067
2878,294,132753
2879,294,119261
2880,291,125968
2881,292,126867
2882,292,110026
2883,291,141030
2884,291,139119
2885,291,128239
2886,292,120380
2887,291,124024
2888,293,122465
2889,293,98704
2890,290,125665
2891,289,127000
2892,287,130258
2893,288,121970
2894,287,137443
2895,288,117308
2896,287,124256
2897,287,122218
2898,285,114477
2899,286,116589
2900,285,121530
2901,286,120329
2902,287,128298
2903,289,129218
2904,290,130148
2905,289,129017
2906,290,136841
2907,287,127479
2908,289,129763
2909,288,120325
2910,290,119530
2911,289,124876
2912,288,127791
2913,286,124378
2914,285,128781
2915,286,110439
2916,287,110960
2917,289,121980
2918,289,130348
2919,289,126245
2920,289,120282
2921,290,140443
2922,290,135258
2923,290,130861
2924,291,127644
2925,291,117811
2926,290,138983
2927,291,131697
2928,287,136109
2929,289,123307
2930,288,134440
2931,288,125389
2932,288,123065
2933,286,122898
2934,286,115151
2935,289,117371
2936,287,123695
2937,285,126564
2938,284,133802
2939,285,127483
2940,286,137447
2941,286,133335
2942,288,119828
2943,287,114597
2944,287,126619
2945,284,131492
2946,284,108783
2947,286,111755
2948,283,124609
2949,281,129235
2950,282,136716
2951,282,122971
2952,279,127088
2953,278,119633
2954,281,129261
2955,281,119564
2956,280,139218
2957,278,127738
2958,279,108828
2959,280,130340
2960,280,133313
2961,279,136651
2962,280,116577
2963,281,132347
2964,279,121221
2965,280,110269
2966,279,117970
2967,279,128515
2968,282,131985
2969,281,131985
2970,282,125488
2971,281,138822
2972,281,115195
2973,280,111786
2974,282,126900
2975,282,119860
2976,282,125654
2977,280,131784
2978,278,125985
2979,279,125794
2980,280,115648
2981,280,133782
2982,278,122722
2983,276,129010
2984,277,110264
2985,279,119707
2986,276,129581
2987,274,135547
2988,272,131184
2989,271,125058
2990,273,120101
2991,273,125846
2992,273,124015
2993,274,123614
2994,273,112014
2995,275,129982
2996,276,131570
2997,278,110193
2998,279,119749
2999,280,125639
3000,279,127741
