股东序号,市值,资金,持仓
539,465064,465064,0
540,376866,376866,0
541,232749,342,833
542,1083392,8405,3853
543,135441,126,485
544,458045,1043,1638
545,247474,559,885
546,561138,4254,1996
547,271082,1289,967
548,248925,57,892
549,253397,65,908
550,248727,138,891
551,402242,39263,1301
552,260498,749,931
553,780865,780865,0
554,353346,132,1266
555,296927,296927,0
556,244873,190,877
557,201855,12414,679
558,342000,7200,1200
559,406141,406141,0
560,566425,55,2030
561,296381,83,1062
562,252480,264,904
563,262648,12664,896
564,263750,653,943
565,602519,4343,2144
566,332047,595,1188
567,905395,40,3245
568,387705,174,1389
569,242911,7714,843
570,631638,261,2263
571,308912,338,1106
572,526521,526521,0
573,438238,9415,1537
574,660698,660698,0
575,289812,210,1038
576,597872,254,2142
577,669337,669337,0
578,351341,80,1259
579,439760,56,1576
580,502768,10,1802
581,213908,194,766
582,369736,369736,0
583,528033,1839,1886
584,247262,68,886
585,474218,197,1699
586,362928,228,1300
587,251388,9,901
588,478733,478733,0
589,238123,415,852
590,302081,203,1082
591,331395,6081,1166
592,443058,285,1587
593,656608,679,2351
594,320232,219,1147
595,612879,195,2196
596,300017,2045,1068
597,232923,237,834
598,202336,340,724
599,394870,85,1415
600,438710,16862,1512
601,287770,121,1031
602,277921,37,996
603,335653,335653,0
604,1119728,78500,3732
605,507383,17738,1755
606,277213,277213,0
607,147426,114,528
608,628497,628497,0
609,444193,1420,1587
610,331225,610,1185
611,852506,161,3055
612,249216,69,893
613,331801,331801,0
614,208779,87,748
615,557608,445,1997
616,246842,206,884
617,154692,126,554
618,298795,298795,0
619,438744,3225,1561
620,201981,264,723
621,267719,716,957
622,248488,248488,0
623,394184,236,1412
624,185694,159,665
625,364891,238,1307
626,261051,186,935
627,219410,219410,0
628,329279,15962,1123
629,202685,131,726
630,281240,287,1007
631,240327,108,861
632,223919,223919,0
633,163299,163299,0
634,510893,7298,1805
635,295576,295576,0
636,461942,6614,1632
637,240400,240400,0
638,266746,266746,0
639,758116,73,2717
640,209494,244,750
641,516627,5499,1832
642,352003,8833,1230
643,274001,274001,0
644,595433,47,2134
645,715262,7718,2536
646,274941,11565,944
647,280593,36189,876
648,269812,269812,0
649,288309,288309,0
650,509578,509578,0
651,285969,273,1024
652,411531,285,1474
653,231436,145,829
654,184581,184581,0
655,218619,162,783
656,411007,319,1472
657,197183,197183,0
658,472406,338,1692
659,939555,29457,3262
660,318848,318848,0
661,417092,266,1494
662,379667,379667,0
663,197820,7542,682
664,495010,3691,1761
665,372381,195,1334
666,227184,227184,0
667,286259,284,1025
668,776739,3,2784
669,516540,111,1851
670,205953,7863,710
671,207585,288,743
672,322617,93,1156
673,493591,877,1766
674,330463,127,1184
675,197068,94,706
676,337937,337937,0
677,204391,163,732
678,249628,202,894
679,336160,523,1203
680,218434,218434,0
681,299111,23,1072
682,161959,1534,575
683,204342,114,732
684,179266,148,642
685,517065,3705,1840
686,530871,530871,0
687,351087,105,1258
688,462960,1773,1653
689,465784,133,1669
690,409798,18361,1403
691,408361,184,1463
692,347609,254,1245
693,284910,330,1020
694,454748,257,1629
695,560219,266,2007
696,219537,243,786
697,219974,219974,0
698,501346,501346,0
699,298735,298735,0
700,304865,304865,0
701,466421,770,1669
702,235239,42,843
703,636236,116,2280
704,340170,69,1219
705,311025,311025,0
706,248753,164,891
707,662073,564,2371
708,470641,247,1686
709,182458,3898,640
710,422351,422351,0
711,224955,81,806
712,283193,8,1015
713,262308,48,940
714,457201,478,1637
715,214050,214050,0
716,381829,157,1368
717,269346,269346,0
718,556965,639,1994
719,184838,15764,606
720,368643,84,1321
721,433602,433602,0
722,392837,18977,1340
723,275857,2716,979
724,255200,194,914
725,203886,29511,625
726,190093,9301,648
727,261794,261794,0
