时间,价格,数量
455,488,51047
456,502,52608
457,470,258106
458,469,243510
459,527,334853
460,490,194058
461,487,89783
462,499,216283
463,483,163272
464,463,218591
465,463,168118
466,479,216802
467,482,186977
468,486,64505
469,495,269559
470,508,334506
471,524,76317
472,544,65480
473,577,79567
474,609,81596
475,638,22858
476,584,472812
477,577,80385
478,561,227696
479,557,62062
480,617,470883
481,623,57658
482,625,90020
483,634,77755
484,666,90624
485,699,75699
486,718,53729
487,750,49940
488,777,27319
489,805,34170
490,816,57561
491,809,271993
492,832,241319
493,845,47012
494,871,60205
495,893,157932
496,907,168548
497,925,35592
498,926,150071
499,896,107046
500,827,75005
501,822,57745
502,841,117195
503,825,72437
504,810,68098
505,766,231430
506,742,43371
507,734,136112
508,697,62211
509,688,399405
510,709,131642
511,722,130839
512,744,65628
513,760,81912
514,725,281212
515,727,74481
516,711,125511
517,740,172642
518,742,50832
519,748,54296
520,786,110081
521,795,49280
522,820,90512
523,827,63027
524,831,58583
525,844,52195
526,877,47961
527,911,267617
528,918,97404
529,897,231023
530,901,185035
531,883,90402
532,842,198557
533,817,50040
534,800,210821
535,815,255579
536,876,124372
537,879,55535
538,878,70194
539,886,103389
540,893,49734
541,942,81508
542,939,82258
543,970,53098
544,972,54058
545,966,69687
546,952,63601
547,969,135777
548,947,117888
549,943,148037
550,953,68074
551,956,52183
552,927,96892
553,921,60722
554,905,60981
555,885,99874
556,894,81604
557,894,44151
558,889,41366
559,869,89155
560,842,59452
561,816,43795
562,824,104761
563,813,46184
564,834,121527
565,873,71676
566,877,206722
567,889,72629
568,901,49668
569,874,109426
570,840,76363
571,797,52183
572,777,38070
573,754,29933
574,706,82102
575,664,30582
576,641,122616
577,618,26969
578,595,29968
579,588,66139
580,577,41966
581,570,68262
582,568,54111
583,559,52054
584,547,52345
585,539,48859
586,528,49031
587,498,98511
588,482,44593
589,465,66481
590,469,96295
591,465,43135
592,453,67199
593,443,49785
594,422,152238
595,414,69030
596,391,55233
597,379,71871
598,359,50053
599,347,41314
600,332,36564
601,341,168396
602,334,81235
603,319,87856
604,316,72583
605,300,116601
606,309,158845
607,314,85253
608,307,73725
609,306,71931
610,280,187850
611,273,56528
612,260,71130
613,257,240634
614,230,270331
615,201,161352
616,194,72653
617,193,181611
618,164,269871
619,140,88370
620,158,344082
621,159,115742
622,173,340738
623,180,542304
624,173,815887
625,177,99412
626,179,81017
627,197,175400
628,195,150175
629,188,131116
630,194,132440
631,197,221516
632,201,80897
633,201,84227
634,212,179496
635,211,96876
636,214,63754
637,216,636760
638,213,85470
639,216,507169
640,216,106228
641,226,159123
642,248,252291
643,259,47085
644,254,317015
645,258,372248
646,242,127130
647,250,93144
648,244,110129
649,237,79262
650,226,80597
651,217,202691
652,206,196561
653,200,62484
654,195,68823
655,198,166546
656,196,207438
657,173,157685
658,168,101199
659,164,255881
660,173,177249
661,174,577522
662,175,125035
663,164,151660
